product,N2BvsE2B,visits,Category,Device,CTA,Date,Month,week_year,traffic,Product page
Orange Advantage,N2BandE2B,836,Mortgages,web,NA,2022-11-13,November,46_2022,NA,NA
Orange Advantage,N2BandE2B,6983,Mortgages,web,NA,2022-11-20,November,47_2022,NA,NA
Orange Advantage,N2BandE2B,6459,Mortgages,web,NA,2022-11-27,November,48_2022,NA,NA
Orange Advantage,N2BandE2B,8097,Mortgages,web,NA,2022-12-04,December,49_2022,NA,NA
Orange Advantage,N2BandE2B,5048,Mortgages,web,NA,2022-12-11,December,50_2022,NA,NA
Orange Advantage,N2BandE2B,4325,Mortgages,web,NA,2022-12-18,December,51_2022,NA,NA
Orange Advantage,N2BandE2B,3296,Mortgages,web,NA,2022-12-25,December,52_2022,NA,NA
Orange Advantage,N2BandE2B,6205,Mortgages,web,NA,2023-01-01,January,1_2023,NA,NA
Orange Advantage,N2BandE2B,7656,Mortgages,web,NA,2023-01-08,January,2_2023,NA,NA
Orange Advantage,N2BandE2B,7491,Mortgages,web,NA,2023-01-15,January,3_2023,NA,NA
Orange Advantage,N2BandE2B,6628,Mortgages,web,NA,2023-01-22,January,4_2023,NA,NA
Orange Advantage,N2BandE2B,8191,Mortgages,web,NA,2023-01-29,January,5_2023,NA,NA
Orange Advantage,N2BandE2B,10340,Mortgages,web,NA,2023-02-05,February,6_2023,NA,NA
Orange Advantage,N2BandE2B,5514,Mortgages,web,NA,2023-02-12,February,7_2023,NA,NA
Orange Advantage,N2B,130,Mortgages,web,NA,2022-11-13,November,46_2022,NA,NA
Orange Advantage,N2B,1585,Mortgages,web,NA,2022-11-20,November,47_2022,NA,NA
Orange Advantage,N2B,1469,Mortgages,web,NA,2022-11-27,November,48_2022,NA,NA
Orange Advantage,N2B,2032,Mortgages,web,NA,2022-12-04,December,49_2022,NA,NA
Orange Advantage,N2B,1588,Mortgages,web,NA,2022-12-11,December,50_2022,NA,NA
Orange Advantage,N2B,1354,Mortgages,web,NA,2022-12-18,December,51_2022,NA,NA
Orange Advantage,N2B,929,Mortgages,web,NA,2022-12-25,December,52_2022,NA,NA
Orange Advantage,N2B,1746,Mortgages,web,NA,2023-01-01,January,1_2023,NA,NA
Orange Advantage,N2B,2137,Mortgages,web,NA,2023-01-08,January,2_2023,NA,NA
Orange Advantage,N2B,1962,Mortgages,web,NA,2023-01-15,January,3_2023,NA,NA
Orange Advantage,N2B,1735,Mortgages,web,NA,2023-01-22,January,4_2023,NA,NA
Orange Advantage,N2B,2102,Mortgages,web,NA,2023-01-29,January,5_2023,NA,NA
Orange Advantage,N2B,2752,Mortgages,web,NA,2023-02-05,February,6_2023,NA,NA
Orange Advantage,N2B,1622,Mortgages,web,NA,2023-02-12,February,7_2023,NA,NA
Orange Advantage,E2B,4,Mortgages,web,NA,2022-11-13,November,46_2022,NA,NA
Orange Advantage,E2B,75,Mortgages,web,NA,2022-11-20,November,47_2022,NA,NA
Orange Advantage,E2B,62,Mortgages,web,NA,2022-11-27,November,48_2022,NA,NA
Orange Advantage,E2B,61,Mortgages,web,NA,2022-12-04,December,49_2022,NA,NA
Orange Advantage,E2B,53,Mortgages,web,NA,2022-12-11,December,50_2022,NA,NA
Orange Advantage,E2B,42,Mortgages,web,NA,2022-12-18,December,51_2022,NA,NA
Orange Advantage,E2B,47,Mortgages,web,NA,2022-12-25,December,52_2022,NA,NA
Orange Advantage,E2B,81,Mortgages,web,NA,2023-01-01,January,1_2023,NA,NA
Orange Advantage,E2B,80,Mortgages,web,NA,2023-01-08,January,2_2023,NA,NA
Orange Advantage,E2B,83,Mortgages,web,NA,2023-01-15,January,3_2023,NA,NA
Orange Advantage,E2B,78,Mortgages,web,NA,2023-01-22,January,4_2023,NA,NA
Orange Advantage,E2B,109,Mortgages,web,NA,2023-01-29,January,5_2023,NA,NA
Orange Advantage,E2B,104,Mortgages,web,NA,2023-02-05,February,6_2023,NA,NA
Orange Advantage,E2B,68,Mortgages,web,NA,2023-02-12,February,7_2023,NA,NA
Mortgage simplifier,N2B,108,Mortgages,web,NA,2022-11-13,November,46_2022,NA,NA
Mortgage simplifier,N2B,1434,Mortgages,web,NA,2022-11-20,November,47_2022,NA,NA
Mortgage simplifier,N2B,1349,Mortgages,web,NA,2022-11-27,November,48_2022,NA,NA
Mortgage simplifier,N2B,1738,Mortgages,web,NA,2022-12-04,December,49_2022,NA,NA
Mortgage simplifier,N2B,1369,Mortgages,web,NA,2022-12-11,December,50_2022,NA,NA
Mortgage simplifier,N2B,1040,Mortgages,web,NA,2022-12-18,December,51_2022,NA,NA
Mortgage simplifier,N2B,833,Mortgages,web,NA,2022-12-25,December,52_2022,NA,NA
Mortgage simplifier,N2B,1386,Mortgages,web,NA,2023-01-01,January,1_2023,NA,NA
Mortgage simplifier,N2B,1644,Mortgages,web,NA,2023-01-08,January,2_2023,NA,NA
Mortgage simplifier,N2B,1698,Mortgages,web,NA,2023-01-15,January,3_2023,NA,NA
Mortgage simplifier,N2B,1445,Mortgages,web,NA,2023-01-22,January,4_2023,NA,NA
Mortgage simplifier,N2B,1699,Mortgages,web,NA,2023-01-29,January,5_2023,NA,NA
Mortgage simplifier,N2B,2219,Mortgages,web,NA,2023-02-05,February,6_2023,NA,NA
Mortgage simplifier,N2B,1254,Mortgages,web,NA,2023-02-12,February,7_2023,NA,NA
Mortgage simplifier,E2B,4,Mortgages,web,NA,2022-11-13,November,46_2022,NA,NA
Mortgage simplifier,E2B,72,Mortgages,web,NA,2022-11-20,November,47_2022,NA,NA
Mortgage simplifier,E2B,72,Mortgages,web,NA,2022-11-27,November,48_2022,NA,NA
Mortgage simplifier,E2B,82,Mortgages,web,NA,2022-12-04,December,49_2022,NA,NA
Mortgage simplifier,E2B,77,Mortgages,web,NA,2022-12-11,December,50_2022,NA,NA
Mortgage simplifier,E2B,49,Mortgages,web,NA,2022-12-18,December,51_2022,NA,NA
Mortgage simplifier,E2B,55,Mortgages,web,NA,2022-12-25,December,52_2022,NA,NA
Mortgage simplifier,E2B,80,Mortgages,web,NA,2023-01-01,January,1_2023,NA,NA
Mortgage simplifier,E2B,99,Mortgages,web,NA,2023-01-08,January,2_2023,NA,NA
Mortgage simplifier,E2B,103,Mortgages,web,NA,2023-01-15,January,3_2023,NA,NA
Mortgage simplifier,E2B,78,Mortgages,web,NA,2023-01-22,January,4_2023,NA,NA
Mortgage simplifier,E2B,98,Mortgages,web,NA,2023-01-29,January,5_2023,NA,NA
Mortgage simplifier,E2B,100,Mortgages,web,NA,2023-02-05,February,6_2023,NA,NA
Mortgage simplifier,E2B,68,Mortgages,web,NA,2023-02-12,February,7_2023,NA,NA
Fixed rate,N2B,141,Mortgages,web,NA,2022-11-13,November,46_2022,NA,NA
Fixed rate,N2B,1533,Mortgages,web,NA,2022-11-20,November,47_2022,NA,NA
Fixed rate,N2B,1390,Mortgages,web,NA,2022-11-27,November,48_2022,NA,NA
Fixed rate,N2B,2570,Mortgages,web,NA,2022-12-04,December,49_2022,NA,NA
Fixed rate,N2B,1421,Mortgages,web,NA,2022-12-11,December,50_2022,NA,NA
Fixed rate,N2B,1106,Mortgages,web,NA,2022-12-18,December,51_2022,NA,NA
Fixed rate,N2B,833,Mortgages,web,NA,2022-12-25,December,52_2022,NA,NA
Fixed rate,N2B,1599,Mortgages,web,NA,2023-01-01,January,1_2023,NA,NA
Fixed rate,N2B,1804,Mortgages,web,NA,2023-01-08,January,2_2023,NA,NA
Fixed rate,N2B,1715,Mortgages,web,NA,2023-01-15,January,3_2023,NA,NA
Fixed rate,N2B,1544,Mortgages,web,NA,2023-01-22,January,4_2023,NA,NA
Fixed rate,N2B,2102,Mortgages,web,NA,2023-01-29,January,5_2023,NA,NA
