Week,visits,Start application,Finish application,Date,channel,Month,con_1,con_2
2022-11-06,6685,1103,228,2022-11-06,app,November,16,21
2022-11-13,5816,1141,238,2022-11-13,app,November,20,21
2022-11-20,5762,1197,260,2022-11-20,app,November,21,22
2022-11-27,5248,1104,240,2022-11-27,app,November,21,22
2022-12-04,7680,1308,292,2022-12-04,app,December,17,22
2022-12-11,5366,986,204,2022-12-11,app,December,18,21
2022-12-18,4277,762,194,2022-12-18,app,December,18,25
2022-12-25,3281,653,153,2022-12-25,app,December,20,23
2023-01-01,5955,1127,266,2023-01-01,app,January,19,24
2023-01-08,7086,1470,288,2023-01-08,app,January,21,20
2023-01-15,6698,1345,291,2023-01-15,app,January,20,22
2023-01-22,5889,1169,285,2023-01-22,app,January,20,24
2023-01-29,3036,694,154,2023-01-29,app,January,23,22
