year,month,month_year,Visitor or Client,Product page,Start application,Finish application,Category,con_1,con_2,target_PP,target_SF,target_FF,Date,MonthvsWeek
2022,February,Feb 2022,::unspecified::,710,0,0,Mortgages,0,NA,873.3,0,0,2022-02-01,Month
2022,February,Feb 2022,client,2440,0,1132,Mortgages,0,Inf,3001.2,0,1935.72,2022-02-01,Month
2022,February,Feb 2022,None,0,0,0,Mortgages,NA,NA,0,0,0,2022-02-01,Month
2022,February,Feb 2022,visitor,26991,1128,365,Mortgages,4,32,33198.93,1928.8799999999999,624.15,2022-02-01,Month
2022,March,Mar 2022,::unspecified::,863,0,0,Mortgages,0,NA,1061.49,0,0,2022-03-01,Month
2022,March,Mar 2022,client,2481,0,1148,Mortgages,0,Inf,3051.63,0,1963.08,2022-03-01,Month
2022,March,Mar 2022,None,0,0,0,Mortgages,NA,NA,0,0,0,2022-03-01,Month
2022,March,Mar 2022,visitor,25935,1768,268,Mortgages,7.000000000000001,15,31900.05,3023.2799999999997,458.28,2022-03-01,Month
2022,April,Apr 2022,::unspecified::,638,0,0,Mortgages,0,NA,784.74,0,0,2022-04-01,Month
2022,April,Apr 2022,client,1845,0,743,Mortgages,0,Inf,2269.35,0,1270.53,2022-04-01,Month
2022,April,Apr 2022,None,0,0,0,Mortgages,NA,NA,0,0,0,2022-04-01,Month
2022,April,Apr 2022,visitor,24957,783,240,Mortgages,3,31,30697.11,1338.93,410.4,2022-04-01,Month
2022,May,May 2022,::unspecified::,694,0,0,Mortgages,0,NA,853.62,0,0,2022-05-01,Month
2022,May,May 2022,client,2098,0,734,Mortgages,0,Inf,2580.54,0,1255.1399999999999,2022-05-01,Month
2022,May,May 2022,None,0,0,0,Mortgages,NA,NA,0,0,0,2022-05-01,Month
2022,May,May 2022,visitor,30366,882,268,Mortgages,3,30,37350.18,1508.22,458.28,2022-05-01,Month
2022,June,Jun 2022,::unspecified::,725,0,0,Mortgages,0,NA,891.75,0,0,2022-06-01,Month
2022,June,Jun 2022,client,1943,0,693,Mortgages,0,Inf,2389.89,0,1185.03,2022-06-01,Month
2022,June,Jun 2022,None,0,0,0,Mortgages,NA,NA,0,0,0,2022-06-01,Month
2022,June,Jun 2022,visitor,28845,657,168,Mortgages,2,26,35479.35,1123.47,287.28,2022-06-01,Month
2022,July,Jul 2022,::unspecified::,976,0,0,Mortgages,0,NA,1200.48,0,0,2022-07-01,Month
2022,July,Jul 2022,client,2392,0,962,Mortgages,0,Inf,2942.16,0,1645.02,2022-07-01,Month
2022,July,Jul 2022,None,0,0,0,Mortgages,NA,NA,0,0,0,2022-07-01,Month
2022,July,Jul 2022,visitor,32283,892,200,Mortgages,3,22,39708.09,1525.32,342,2022-07-01,Month
2022,August,Aug 2022,::unspecified::,1050,0,0,Mortgages,0,NA,1291.5,0,0,2022-08-01,Month
2022,August,Aug 2022,client,2539,0,1163,Mortgages,0,Inf,3122.97,0,1988.73,2022-08-01,Month
2022,August,Aug 2022,None,0,0,0,Mortgages,NA,NA,0,0,0,2022-08-01,Month
2022,August,Aug 2022,visitor,31168,981,289,Mortgages,3,28.999999999999996,38336.64,1677.51,494.19,2022-08-01,Month
2022,September,Sep 2022,::unspecified::,745,0,0,Mortgages,0,NA,916.35,0,0,2022-09-01,Month
