Last Touch Marketing Channel,Product page,Start application,Finish application,Category,con_1,con_2,Date,MonthvsWeek,Visitor or Client,target_con1,Sales
::unspecified::,3,0,0,Mortgages,0,NA,2022-02-28,Week,total,NA,NA
Affiliate,188,0,0,Mortgages,0,NA,2022-02-28,Week,total,NA,NA
Direct,4180,0,0,Mortgages,0,NA,2022-02-28,Week,total,NA,NA
Display,6,0,0,Mortgages,0,NA,2022-02-28,Week,total,NA,NA
Email,163,0,0,Mortgages,0,NA,2022-02-28,Week,total,NA,NA
Mobile App,0,0,0,Mortgages,NA,NA,2022-02-28,Week,total,NA,NA
Natural Search,10032,0,0,Mortgages,0,NA,2022-02-28,Week,total,NA,NA
Paid Search,1816,0,0,Mortgages,0,NA,2022-02-28,Week,total,NA,NA
Referring Domains,208,0,0,Mortgages,0,NA,2022-02-28,Week,total,NA,NA
Social Networks,4,0,0,Mortgages,0,NA,2022-02-28,Week,total,NA,NA
::unspecified::,5,0,0,Mortgages,0,NA,2022-03-07,Week,total,NA,NA
Affiliate,192,0,0,Mortgages,0,NA,2022-03-07,Week,total,NA,NA
Direct,4712,0,0,Mortgages,0,NA,2022-03-07,Week,total,NA,NA
Display,0,0,0,Mortgages,NA,NA,2022-03-07,Week,total,NA,NA
Email,30,0,0,Mortgages,0,NA,2022-03-07,Week,total,NA,NA
Mobile App,0,0,0,Mortgages,NA,NA,2022-03-07,Week,total,NA,NA
Natural Search,11433,0,0,Mortgages,0,NA,2022-03-07,Week,total,NA,NA
Paid Search,2058,0,0,Mortgages,0,NA,2022-03-07,Week,total,NA,NA
Referring Domains,216,0,0,Mortgages,0,NA,2022-03-07,Week,total,NA,NA
Social Networks,18,0,0,Mortgages,0,NA,2022-03-07,Week,total,NA,NA
::unspecified::,4,0,0,Mortgages,0,NA,2022-03-14,Week,total,NA,NA
Affiliate,218,0,0,Mortgages,0,NA,2022-03-14,Week,total,NA,NA
Direct,6041,0,0,Mortgages,0,NA,2022-03-14,Week,total,NA,NA
Display,0,0,0,Mortgages,NA,NA,2022-03-14,Week,total,NA,NA
Email,236,0,0,Mortgages,0,NA,2022-03-14,Week,total,NA,NA
Mobile App,0,0,0,Mortgages,NA,NA,2022-03-14,Week,total,NA,NA
Natural Search,12828,0,0,Mortgages,0,NA,2022-03-14,Week,total,NA,NA
Paid Search,2417,0,0,Mortgages,0,NA,2022-03-14,Week,total,NA,NA
Referring Domains,245,0,0,Mortgages,0,NA,2022-03-14,Week,total,NA,NA
Social Networks,38,0,0,Mortgages,0,NA,2022-03-14,Week,total,NA,NA
::unspecified::,5,0,0,Mortgages,0,NA,2022-03-21,Week,total,NA,NA
Affiliate,100,0,0,Mortgages,0,NA,2022-03-21,Week,total,NA,NA
Direct,5348,0,0,Mortgages,0,NA,2022-03-21,Week,total,NA,NA
Display,3,0,0,Mortgages,0,NA,2022-03-21,Week,total,NA,NA
Email,55,0,0,Mortgages,0,NA,2022-03-21,Week,total,NA,NA
Mobile App,0,0,0,Mortgages,NA,NA,2022-03-21,Week,total,NA,NA
Natural Search,12819,0,0,Mortgages,0,NA,2022-03-21,Week,total,NA,NA
Paid Search,2440,0,0,Mortgages,0,NA,2022-03-21,Week,total,NA,NA
Referring Domains,215,0,0,Mortgages,0,NA,2022-03-21,Week,total,NA,NA
Social Networks,25,0,0,Mortgages,0,NA,2022-03-21,Week,total,NA,NA
::unspecified::,10,0,0,Mortgages,0,NA,2022-03-28,Week,total,NA,NA
Affiliate,20,0,0,Mortgages,0,NA,2022-03-28,Week,total,NA,NA
Direct,5270,0,0,Mortgages,0,NA,2022-03-28,Week,total,NA,NA
Display,2,0,0,Mortgages,0,NA,2022-03-28,Week,total,NA,NA
Email,768,0,0,Mortgages,0,NA,2022-03-28,Week,total,NA,NA
Mobile App,0,0,0,Mortgages,NA,NA,2022-03-28,Week,total,NA,NA
Natural Search,13038,0,0,Mortgages,0,NA,2022-03-28,Week,total,NA,NA
