Visitor or Client,Product page CvnC,Start application CvnC,Finish application CvnC,Category,con_1_CvnC,con_2_CvnC,target_con1,Date,MonthvsWeek,Sales
client,1993,1530,862,Mortgages,76.7686904164576,56.33986928104575,5,2022-08-01,Month,194
None,0,0,0,Mortgages,NA,NA,5,2022-08-01,Month,NA
visitor,53253,984,231,Mortgages,1.8477832234803673,23.47560975609756,5,2022-08-01,Month,17
client,2057,1453,886,Mortgages,70.63684978123482,60.97728836889195,5,2022-09-01,Month,241
None,0,0,0,Mortgages,NA,NA,5,2022-09-01,Month,NA
visitor,59131,1120,231,Mortgages,1.8940995416955573,20.625,5,2022-09-01,Month,25
client,2255,1628,934,Mortgages,72.1951219512195,57.37100737100738,5,2022-10-01,Month,213
None,0,0,0,Mortgages,NA,NA,5,2022-10-01,Month,NA
visitor,61250,1125,230,Mortgages,1.8367346938775513,20.444444444444446,5,2022-10-01,Month,19
client,2188,1612,890,Mortgages,73.6745886654479,55.21091811414392,5,2022-11-01,Month,204
None,0,0,0,Mortgages,NA,NA,5,2022-11-01,Month,NA
visitor,56184,1031,171,Mortgages,1.835042004841236,16.58583899127061,5,2022-11-01,Month,15
client,1663,1221,684,Mortgages,73.42152736019241,56.01965601965602,5,2022-12-01,Month,210
None,0,0,0,Mortgages,NA,NA,5,2022-12-01,Month,NA
visitor,48026,1004,205,Mortgages,2.0905342939241245,20.418326693227094,5,2022-12-01,Month,23
client,2451,1760,963,Mortgages,71.80742554059567,54.715909090909086,5,2023-01-01,Month,204
None,0,0,0,Mortgages,NA,NA,5,2023-01-01,Month,NA
visitor,50837,1118,279,Mortgages,2.1991856325117536,24.955277280858677,5,2023-01-01,Month,13
client,2484,1692,973,Mortgages,68.11594202898551,57.50591016548463,5,2023-02-01,Month,170
None,0,0,0,Mortgages,NA,NA,5,2023-02-01,Month,NA
visitor,62259,1280,287,Mortgages,2.055927657045568,22.421875,5,2023-02-01,Month,11
client,2490,1820,1039,Mortgages,73.09236947791165,57.08791208791209,5,2023-03-01,Month,192
None,0,0,0,Mortgages,NA,NA,5,2023-03-01,Month,NA
visitor,66472,1394,303,Mortgages,2.0971236009146708,21.736011477761835,5,2023-03-01,Month,17
client,2372,1778,1029,Mortgages,74.95784148397976,57.874015748031496,5,2023-04-01,Month,241
None,0,0,0,Mortgages,NA,NA,5,2023-04-01,Month,NA
visitor,56788,1653,337,Mortgages,2.910826230893851,20.38717483363581,5,2023-04-01,Month,16
client,2522,1859,1003,Mortgages,73.71134020618557,53.95373856912319,5,2023-05-01,Month,192
None,0,0,0,Mortgages,NA,NA,5,2023-05-01,Month,NA
visitor,68054,1709,307,Mortgages,2.511241073265348,17.963721474546517,5,2023-05-01,Month,13
client,2186,1640,730,Mortgages,75.02287282708143,44.51219512195122,5,2023-06-01,Month,246
None,0,0,0,Mortgages,NA,NA,5,2023-06-01,Month,NA
visitor,68106,1456,207,Mortgages,2.1378439491381083,14.217032967032967,5,2023-06-01,Month,20
client,2156,1629,604,Mortgages,75.55658627087199,37.07796193984039,5,2023-07-01,Month,328
None,0,0,0,Mortgages,NA,NA,5,2023-07-01,Month,NA
visitor,56635,1377,166,Mortgages,2.431358700450252,12.05519244734931,5,2023-07-01,Month,29
client,202,154,98,Mortgages,76.23762376237624,63.63636363636363,5,2022-08-01,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-08-01,Week,NA
visitor,5841,122,26,Mortgages,2.088683444615648,21.311475409836063,5,2022-08-01,Week,NA
client,513,401,213,Mortgages,78.16764132553607,53.11720698254364,5,2022-08-08,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-08-08,Week,NA
visitor,14060,228,63,Mortgages,1.6216216216216217,27.631578947368425,5,2022-08-08,Week,NA
client,461,338,199,Mortgages,73.31887201735357,58.875739644970416,5,2022-08-15,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-08-15,Week,NA
visitor,12350,215,45,Mortgages,1.7408906882591093,20.930232558139537,5,2022-08-15,Week,NA
client,549,429,248,Mortgages,78.14207650273224,57.80885780885781,5,2022-08-22,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-08-22,Week,NA
visitor,14376,280,69,Mortgages,1.9476905954368393,24.642857142857146,5,2022-08-22,Week,NA
client,514,373,204,Mortgages,72.568093385214,54.6916890080429,5,2022-08-29,Week,194
None,0,0,0,Mortgages,NA,NA,5,2022-08-29,Week,NA
visitor,13109,283,61,Mortgages,2.158822183232893,21.554770318021202,5,2022-08-29,Week,17
client,545,405,261,Mortgages,74.31192660550458,64.44444444444444,5,2022-09-05,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-09-05,Week,NA
visitor,15695,287,57,Mortgages,1.8286078368907295,19.860627177700348,5,2022-09-05,Week,NA
client,444,335,184,Mortgages,75.45045045045045,54.92537313432836,5,2022-09-12,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-09-12,Week,NA
visitor,14158,249,57,Mortgages,1.758722983472242,22.89156626506024,5,2022-09-12,Week,NA
client,453,294,193,Mortgages,64.90066225165563,65.64625850340136,5,2022-09-19,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-09-19,Week,NA
visitor,12273,215,36,Mortgages,1.7518129226757926,16.74418604651163,5,2022-09-19,Week,NA
client,476,338,200,Mortgages,71.00840336134453,59.171597633136095,5,2022-09-26,Week,241
None,0,0,0,Mortgages,NA,NA,5,2022-09-26,Week,NA
visitor,13169,280,65,Mortgages,2.1262054825727086,23.214285714285715,5,2022-09-26,Week,25
client,585,446,226,Mortgages,76.23931623931624,50.672645739910315,5,2022-10-03,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-10-03,Week,NA
visitor,17569,294,58,Mortgages,1.67340201491263,19.727891156462583,5,2022-10-03,Week,NA
client,478,331,192,Mortgages,69.24686192468619,58.006042296072515,5,2022-10-10,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-10-10,Week,NA
visitor,13742,242,58,Mortgages,1.7610245961286568,23.96694214876033,5,2022-10-10,Week,NA
client,517,373,238,Mortgages,72.14700193423597,63.806970509383376,5,2022-10-17,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-10-17,Week,NA
visitor,12968,298,53,Mortgages,2.29796421961752,17.78523489932886,5,2022-10-17,Week,NA
client,490,332,194,Mortgages,67.75510204081633,58.43373493975904,5,2022-10-24,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-10-24,Week,NA
visitor,12456,200,38,Mortgages,1.605651894669236,19,5,2022-10-24,Week,NA
client,576,396,236,Mortgages,68.75,59.59595959595959,5,2022-10-31,Week,213
None,0,0,0,Mortgages,NA,NA,5,2022-10-31,Week,NA
visitor,15010,257,41,Mortgages,1.7121918720852767,15.953307392996107,5,2022-10-31,Week,19
client,454,354,193,Mortgages,77.97356828193833,54.51977401129944,5,2022-11-07,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-11-07,Week,NA
visitor,12949,246,32,Mortgages,1.8997605992740751,13.008130081300814,5,2022-11-07,Week,NA
client,490,366,209,Mortgages,74.6938775510204,57.103825136612016,5,2022-11-14,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-11-14,Week,NA
visitor,13092,216,39,Mortgages,1.6498625114573784,18.055555555555554,5,2022-11-14,Week,NA
client,489,367,183,Mortgages,75.05112474437627,49.863760217983646,5,2022-11-21,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-11-21,Week,NA
visitor,11750,238,45,Mortgages,2.025531914893617,18.907563025210084,5,2022-11-21,Week,NA
client,461,337,192,Mortgages,73.10195227765726,56.97329376854599,5,2022-11-28,Week,204
None,0,0,0,Mortgages,NA,NA,5,2022-11-28,Week,NA
visitor,10903,216,39,Mortgages,1.9811061175823166,18.055555555555554,5,2022-11-28,Week,15
client,526,390,219,Mortgages,74.1444866920152,56.15384615384615,5,2022-12-05,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-12-05,Week,NA
visitor,15670,316,57,Mortgages,2.016592214422463,18.037974683544302,5,2022-12-05,Week,NA
client,377,282,142,Mortgages,74.80106100795756,50.35460992907801,5,2022-12-12,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-12-12,Week,NA
visitor,10817,240,54,Mortgages,2.2187297772025514,22.5,5,2022-12-12,Week,NA
client,275,208,113,Mortgages,75.63636363636364,54.32692307692307,5,2022-12-19,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-12-19,Week,NA
visitor,9025,211,49,Mortgages,2.337950138504155,23.22274881516588,5,2022-12-19,Week,NA
client,317,217,131,Mortgages,68.45425867507886,60.36866359447005,5,2022-12-26,Week,210
None,0,0,0,Mortgages,NA,NA,5,2022-12-26,Week,NA
visitor,7946,140,26,Mortgages,1.7618927762396173,18.571428571428573,5,2022-12-26,Week,23
client,517,365,201,Mortgages,70.59961315280464,55.06849315068493,5,2023-01-02,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-01-02,Week,NA
visitor,11026,288,74,Mortgages,2.612007981135498,25.694444444444443,5,2023-01-02,Week,NA
client,594,424,220,Mortgages,71.38047138047138,51.886792452830186,5,2023-01-09,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-01-09,Week,NA
visitor,12293,274,63,Mortgages,2.228910762222403,22.99270072992701,5,2023-01-09,Week,NA
client,565,402,224,Mortgages,71.15044247787611,55.72139303482587,5,2023-01-16,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-01-16,Week,NA
visitor,11715,218,57,Mortgages,1.8608621425522835,26.146788990825687,5,2023-01-16,Week,NA
client,499,380,216,Mortgages,76.15230460921843,56.84210526315789,5,2023-01-23,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-01-23,Week,NA
visitor,10369,232,65,Mortgages,2.2374385186613948,28.01724137931034,5,2023-01-23,Week,NA
client,660,463,274,Mortgages,70.15151515151516,59.179265658747305,5,2023-01-30,Week,204
None,0,0,0,Mortgages,NA,NA,5,2023-01-30,Week,NA
visitor,13225,284,69,Mortgages,2.1474480151228734,24.295774647887324,5,2023-01-30,Week,13
client,687,459,257,Mortgages,66.8122270742358,55.99128540305011,5,2023-02-06,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-02-06,Week,NA
