Last Touch Marketing Channel,Product page MC,Start application MC,Finish application MC,Category,con_1_MC,con_2_MC,Date,MonthvsWeek,Visitor or Client
::unspecified::,0,0,0,Mortgages,NA,NA,2022-08-01,Week,total
Affiliate,3,0,0,Mortgages,0,NA,2022-08-01,Week,total
Direct,2003,92.5,51.81818181818181,Mortgages,4.618072890664004,56.019656019656,2022-08-01,Week,total
Display,1,0,0,Mortgages,0,NA,2022-08-01,Week,total
Email,8,0,0,Mortgages,0,NA,2022-08-01,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-08-01,Week,total
Natural Search,2681,86.66666666666667,38.18181818181818,Mortgages,3.2326246425463148,44.05594405594406,2022-08-01,Week,total
Paid Search,1044,45.833333333333336,20,Mortgages,4.39016602809706,43.63636363636367,2022-08-01,Week,total
Referring Domains,75,5,2.727272727272727,Mortgages,6.666666666666667,54.54545454545461,2022-08-01,Week,total
Social Networks,30,0,0,Mortgages,0,NA,2022-08-01,Week,total
::unspecified::,5,0,0,Mortgages,0,NA,2022-08-08,Week,total
Affiliate,9,0,0,Mortgages,0,NA,2022-08-08,Week,total
Direct,4754,242.5,111.81818181818181,Mortgages,5.100967606226336,46.11059044048742,2022-08-08,Week,total
Display,0,0,0,Mortgages,NA,NA,2022-08-08,Week,total
Email,9,0,0,Mortgages,0,NA,2022-08-08,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-08-08,Week,total
Natural Search,6604,206.66666666666669,104.54545454545453,Mortgages,3.129416515243292,50.58651026392976,2022-08-08,Week,total
Paid Search,2526,70,29.09090909090909,Mortgages,2.771179730799683,41.55844155844157,2022-08-08,Week,total
Referring Domains,184,5,5.454545454545454,Mortgages,2.717391304347826,109.090909090909,2022-08-08,Week,total
Social Networks,14,0,0,Mortgages,0,NA,2022-08-08,Week,total
::unspecified::,6,0.8333333333333334,0,Mortgages,13.888888888888884,0,2022-08-15,Week,total
Affiliate,1,0,0,Mortgages,0,NA,2022-08-15,Week,total
Direct,4090,200.83333333333334,121.81818181818181,Mortgages,4.910350448247751,60.65635609204093,2022-08-15,Week,total
Display,0,0,0,Mortgages,NA,NA,2022-08-15,Week,total
Email,29,0,0,Mortgages,0,NA,2022-08-15,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-08-15,Week,total
Natural Search,5766,178.33333333333334,79.09090909090908,Mortgages,3.0928431032489248,44.35004248088369,2022-08-15,Week,total
Paid Search,2334,79.16666666666667,20,Mortgages,3.3918880319908613,25.263157894736832,2022-08-15,Week,total
Referring Domains,172,1.6666666666666667,0.9090909090909091,Mortgages,0.9689922480620174,54.54545454545443,2022-08-15,Week,total
Social Networks,13,0,0,Mortgages,0,NA,2022-08-15,Week,total
::unspecified::,3,0,0,Mortgages,0,NA,2022-08-22,Week,total
Affiliate,2,0.8333333333333334,0,Mortgages,41.66666666666665,0,2022-08-22,Week,total
Direct,5896,285,137.27272727272725,Mortgages,4.833785617367707,48.1658692185007,2022-08-22,Week,total
Display,0,0,0,Mortgages,NA,NA,2022-08-22,Week,total
Email,13,1.6666666666666667,0.9090909090909091,Mortgages,12.820512820512848,54.54545454545443,2022-08-22,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-08-22,Week,total
Natural Search,6036,207.5,109.09090909090908,Mortgages,3.437707090788602,52.57393209200434,2022-08-22,Week,total
Paid Search,2271,91.66666666666667,40,Mortgages,4.036400998091884,43.636363636363626,2022-08-22,Week,total
Referring Domains,168,4.166666666666667,0.9090909090909091,Mortgages,2.4801587301587316,21.8181818181818,2022-08-22,Week,total
Social Networks,8,0,0,Mortgages,0,NA,2022-08-22,Week,total
::unspecified::,3,0.8333333333333334,0,Mortgages,27.777777777777768,0,2022-08-29,Week,total
Affiliate,159,4.166666666666667,0.9090909090909091,Mortgages,2.620545073375264,21.8181818181818,2022-08-29,Week,total
Direct,4928,275,119.99999999999999,Mortgages,5.580357142857143,43.63636363636363,2022-08-29,Week,total
Display,0,0,0,Mortgages,NA,NA,2022-08-29,Week,total
Email,12,0.8333333333333334,0,Mortgages,6.944444444444442,0,2022-08-29,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-08-29,Week,total
Natural Search,5414,179.16666666666669,92.72727272727272,Mortgages,3.3093215121290545,51.75475687103584,2022-08-29,Week,total
Paid Search,2425,83.33333333333334,25.454545454545453,Mortgages,3.436426116838487,30.54545454545461,2022-08-29,Week,total
