Day,Device Type,Visitor or Client,Visits,HL app start,HL app complete
2022-02-01T00:00:00Z,Desktop,visitor,778,33,13
2022-02-01T00:00:00Z,Desktop,client,69,0,28
2022-02-01T00:00:00Z,Desktop,::unspecified::,19,0,0
2022-02-01T00:00:00Z,Mobile/Smartphone,visitor,614,19,7
2022-02-01T00:00:00Z,Mobile/Smartphone,client,34,0,15
2022-02-01T00:00:00Z,Mobile/Smartphone,::unspecified::,14,0,0
2022-02-01T00:00:00Z,Tablet landscape,visitor,10,0,0
2022-02-01T00:00:00Z,Tablet landscape,client,1,0,0
2022-02-01T00:00:00Z,Tablet portrait,visitor,3,0,0
2022-02-01T00:00:00Z,::unspecified::,None,0,0,0
2022-02-02T00:00:00Z,Desktop,visitor,805,27,13
2022-02-02T00:00:00Z,Desktop,client,84,0,28
2022-02-02T00:00:00Z,Desktop,::unspecified::,21,0,0
2022-02-02T00:00:00Z,Mobile/Smartphone,visitor,620,19,5
2022-02-02T00:00:00Z,Mobile/Smartphone,client,31,0,15
2022-02-02T00:00:00Z,Mobile/Smartphone,::unspecified::,10,0,0
2022-02-02T00:00:00Z,Tablet landscape,visitor,15,0,0
2022-02-02T00:00:00Z,Tablet landscape,client,2,0,2
2022-02-02T00:00:00Z,Tablet portrait,visitor,6,0,0
2022-02-02T00:00:00Z,::unspecified::,None,0,0,0
2022-02-03T00:00:00Z,Desktop,visitor,728,27,10
2022-02-03T00:00:00Z,Desktop,client,65,0,26
2022-02-03T00:00:00Z,Desktop,::unspecified::,18,0,0
2022-02-03T00:00:00Z,Mobile/Smartphone,visitor,495,16,5
2022-02-03T00:00:00Z,Mobile/Smartphone,client,27,0,16
2022-02-03T00:00:00Z,Mobile/Smartphone,::unspecified::,14,0,0
2022-02-03T00:00:00Z,Tablet landscape,visitor,7,1,0
2022-02-03T00:00:00Z,Tablet landscape,client,1,0,0
2022-02-03T00:00:00Z,Tablet portrait,visitor,4,0,0
2022-02-03T00:00:00Z,::unspecified::,None,0,0,0
2022-02-04T00:00:00Z,Desktop,visitor,611,21,1
2022-02-04T00:00:00Z,Desktop,client,62,0,31
2022-02-04T00:00:00Z,Desktop,::unspecified::,23,0,0
2022-02-04T00:00:00Z,Mobile/Smartphone,visitor,393,13,3
2022-02-04T00:00:00Z,Mobile/Smartphone,client,27,0,12
2022-02-04T00:00:00Z,Mobile/Smartphone,::unspecified::,9,0,0
2022-02-04T00:00:00Z,Tablet landscape,visitor,4,0,0
2022-02-04T00:00:00Z,Tablet portrait,visitor,7,0,0
2022-02-04T00:00:00Z,::unspecified::,None,0,0,0
2022-02-05T00:00:00Z,Desktop,visitor,315,15,11
2022-02-05T00:00:00Z,Desktop,client,40,0,23
2022-02-05T00:00:00Z,Desktop,::unspecified::,12,0,0
2022-02-05T00:00:00Z,Mobile/Smartphone,visitor,427,20,3
2022-02-05T00:00:00Z,Mobile/Smartphone,client,26,0,18
2022-02-05T00:00:00Z,Mobile/Smartphone,::unspecified::,8,0,0
2022-02-05T00:00:00Z,Tablet landscape,visitor,8,0,0
2022-02-05T00:00:00Z,Tablet portrait,visitor,5,0,0
2022-02-05T00:00:00Z,::unspecified::,None,0,0,0
2022-02-06T00:00:00Z,Desktop,visitor,266,12,11
2022-02-06T00:00:00Z,Desktop,client,49,0,27
2022-02-06T00:00:00Z,Desktop,::unspecified::,5,0,0
2022-02-06T00:00:00Z,Mobile/Smartphone,visitor,471,12,3
2022-02-06T00:00:00Z,Mobile/Smartphone,client,29,0,18
2022-02-06T00:00:00Z,Mobile/Smartphone,::unspecified::,3,0,0
2022-02-06T00:00:00Z,Tablet landscape,visitor,6,0,0
2022-02-06T00:00:00Z,Tablet landscape,client,1,0,0
2022-02-06T00:00:00Z,Tablet portrait,visitor,9,0,0
2022-02-06T00:00:00Z,Tablet portrait,client,1,0,0
2022-02-06T00:00:00Z,::unspecified::,visitor,1,0,0
2022-02-07T00:00:00Z,Desktop,visitor,727,43,14
2022-02-07T00:00:00Z,Desktop,client,92,0,47
2022-02-07T00:00:00Z,Desktop,::unspecified::,10,0,0
2022-02-07T00:00:00Z,Mobile/Smartphone,visitor,439,25,5
2022-02-07T00:00:00Z,Mobile/Smartphone,client,31,0,14
2022-02-07T00:00:00Z,Mobile/Smartphone,::unspecified::,5,0,0
2022-02-07T00:00:00Z,Tablet landscape,visitor,12,0,0
2022-02-07T00:00:00Z,Tablet portrait,visitor,5,0,0
2022-02-07T00:00:00Z,::unspecified::,None,0,0,0
2022-02-08T00:00:00Z,Desktop,visitor,698,28,8
2022-02-08T00:00:00Z,Desktop,client,86,0,38
2022-02-08T00:00:00Z,Desktop,::unspecified::,17,0,0
2022-02-08T00:00:00Z,Mobile/Smartphone,visitor,482,16,2
2022-02-08T00:00:00Z,Mobile/Smartphone,client,29,0,13
2022-02-08T00:00:00Z,Mobile/Smartphone,::unspecified::,12,0,0
2022-02-08T00:00:00Z,Tablet landscape,visitor,4,0,0
2022-02-08T00:00:00Z,Tablet landscape,client,1,0,0
2022-02-08T00:00:00Z,Tablet portrait,visitor,8,0,0
2022-02-08T00:00:00Z,::unspecified::,None,0,0,0
2022-02-09T00:00:00Z,Desktop,visitor,616,23,8
2022-02-09T00:00:00Z,Desktop,client,39,0,13
2022-02-09T00:00:00Z,Desktop,::unspecified::,1,0,0
2022-02-09T00:00:00Z,Mobile/Smartphone,visitor,490,24,5
2022-02-09T00:00:00Z,Mobile/Smartphone,client,40,0,25
2022-02-09T00:00:00Z,Mobile/Smartphone,::unspecified::,4,0,0
2022-02-09T00:00:00Z,Tablet landscape,visitor,4,2,0
2022-02-09T00:00:00Z,Tablet portrait,visitor,5,0,0
2022-02-09T00:00:00Z,::unspecified::,None,0,0,0
2022-02-10T00:00:00Z,Desktop,visitor,603,38,10
2022-02-10T00:00:00Z,Desktop,client,68,0,43
2022-02-10T00:00:00Z,Desktop,::unspecified::,21,0,0
2022-02-10T00:00:00Z,Mobile/Smartphone,visitor,389,24,3
2022-02-10T00:00:00Z,Mobile/Smartphone,client,23,0,11
2022-02-10T00:00:00Z,Mobile/Smartphone,::unspecified::,13,0,0
2022-02-10T00:00:00Z,Tablet landscape,visitor,9,1,0
2022-02-10T00:00:00Z,Tablet portrait,visitor,2,0,0
2022-02-10T00:00:00Z,::unspecified::,None,0,0,0
