Month,Product_pages_web,Product_pages_app,Calculator,Campaign_pages,Product_pages_target
Jan 2022,48870,0,50320,4326,60110.1
Feb 2022,49676,0,46740,5548,61101.479999999996
Mar 2022,47273,0,45994,5026,58145.79
Apr 2022,42940,0,42435,3736,52816.2
May 2022,54134,6,46660,4463,66584.81999999999
Jun 2022,55868,4515,46638,5750,68717.64
Jul 2022,68059,4996,52933,6810,83712.56999999999
Aug 2022,70011,5065,56040,7565,86113.53
Sep 2022,59424,4895,52946,7991,73091.52
Oct 2022,61619,5287,54913,8430,75791.37
Nov 2022,56625,4509,48877,5274,69648.75
Dec 2022,48257,4023,45109,10177,59356.11
