Calculators,Campaign page,Product page app,Product page open,Product page secured,Date,Product page target,Visitor or Client,MonthvsWeek,month,target_PP_23
12871,448,630,6126,85,2022-08-01,6659,total,Week,August,74911.77
31962,1015,1267,14854,225,2022-08-08,16094,total,Week,August,74911.77
34247,2012,1319,11941,209,2022-08-15,14162,total,Week,August,74911.77
32984,2018,1379,14120,221,2022-08-22,16359,total,Week,August,74911.77
37021,2211,1410,12496,214,2022-08-29,14921,total,Week,August,74911.77
37625,2292,1694,15427,238,2022-09-05,17957,total,Week,September,63583.68
33760,1788,1448,14081,194,2022-09-12,16063,total,Week,September,63583.68
32343,1686,1320,12240,225,2022-09-19,14151,total,Week,September,63583.68
36415,2086,1495,12899,210,2022-09-26,15195,total,Week,September,63583.68
42266,2711,1651,17179,249,2022-10-03,20139,total,Week,October,65932.33
32725,2042,1630,13572,216,2022-10-10,15830,total,Week,October,65932.33
36116,2032,1553,12616,218,2022-10-17,14866,total,Week,October,65932.33
29884,1775,1472,12388,221,2022-10-24,14384,total,Week,October,65932.33
34197,1658,1851,15364,260,2022-10-31,17282,total,Week,October,65932.33
28162,1132,1389,13430,197,2022-11-07,14759,total,Week,November,60588.75
32923,1644,1240,12893,181,2022-11-14,14718,total,Week,November,60588.75
29211,1780,1054,11356,205,2022-11-21,13341,total,Week,November,60588.75
25956,1494,1240,10715,193,2022-11-28,12402,total,Week,November,60588.75
32048,3325,1425,14387,210,2022-12-05,17922,total,Week,December,51634.990000000005
27505,2943,1082,9253,170,2022-12-12,12366,total,Week,December,51634.990000000005
23041,2780,962,7390,117,2022-12-19,10287,total,Week,December,51634.990000000005
27399,2603,1218,6424,156,2022-12-26,9183,total,Week,December,51634.990000000005
31847,1248,1772,11199,231,2023-01-02,12678,total,Week,January,52290.9
33155,721,1758,13338,258,2023-01-09,14317,total,Week,January,52290.9
32448,391,1733,12865,259,2023-01-16,13515,total,Week,January,52290.9
31016,351,1571,11390,226,2023-01-23,11967,total,Week,January,52290.9
35799,782,2198,14230,294,2023-01-30,15306,total,Week,January,52290.9
39507,1793,2305,18599,317,2023-02-06,20709,total,Week,February,53153.32
35905,2317,1835,15534,293,2023-02-13,18144,total,Week,February,53153.32
34850,1950,1805,15071,235,2023-02-20,17256,total,Week,February,53153.32
39233,2317,1751,15282,266,2023-02-27,17865,total,Week,February,53153.32
40985,3090,2018,15777,269,2023-03-06,19136,total,Week,March,50582.11
36911,2761,1750,13021,211,2023-03-13,15993,total,Week,March,50582.11
37834,2435,1538,12691,218,2023-03-20,15344,total,Week,March,50582.11
41233,3691,1609,13092,247,2023-03-27,17030,total,Week,March,50582.11
38447,2852,1479,11775,202,2023-04-03,14829,total,Week,April,45945.8
38408,2841,1618,11926,240,2023-04-10,15007,total,Week,April,45945.8
35841,3976,1745,12694,231,2023-04-17,16901,total,Week,April,45945.8
33371,3324,1482,11590,175,2023-04-24,15089,total,Week,April,45945.8
36466,4381,1784,15244,264,2023-05-01,19889,total,Week,May,57923.380000000005
