Product Name,Channel Description,NTB (group),Day of Calendar Date,Sales
INSURANCE,E-QUOTE,NULL,13 February 2023,78
INSURANCE,E-QUOTE,NULL,12 February 2023,51
INSURANCE,E-QUOTE,NULL,11 February 2023,51
INSURANCE,E-QUOTE,NULL,10 February 2023,80
INSURANCE,E-QUOTE,NULL,9 February 2023,84
INSURANCE,E-QUOTE,NULL,8 February 2023,26
INSURANCE,E-QUOTE,NULL,7 February 2023,61
INSURANCE,E-QUOTE,NULL,6 February 2023,84
INSURANCE,E-QUOTE,NULL,5 February 2023,47
INSURANCE,E-QUOTE,NULL,4 February 2023,35
INSURANCE,E-QUOTE,NULL,3 February 2023,62
INSURANCE,E-QUOTE,NULL,2 February 2023,67
INSURANCE,E-QUOTE,NULL,1 February 2023,91
INSURANCE,E-QUOTE,NULL,31 January 2023,160
INSURANCE,E-QUOTE,NULL,30 January 2023,196
INSURANCE,E-QUOTE,NULL,29 January 2023,63
INSURANCE,E-QUOTE,NULL,28 January 2023,59
INSURANCE,E-QUOTE,NULL,27 January 2023,100
INSURANCE,E-QUOTE,NULL,26 January 2023,90
INSURANCE,E-QUOTE,NULL,25 January 2023,88
INSURANCE,E-QUOTE,NULL,24 January 2023,177
INSURANCE,E-QUOTE,NULL,23 January 2023,84
INSURANCE,E-QUOTE,NULL,22 January 2023,39
INSURANCE,E-QUOTE,NULL,21 January 2023,47
INSURANCE,E-QUOTE,NULL,20 January 2023,70
INSURANCE,E-QUOTE,NULL,19 January 2023,78
INSURANCE,E-QUOTE,NULL,18 January 2023,96
INSURANCE,E-QUOTE,NULL,17 January 2023,73
INSURANCE,E-QUOTE,NULL,16 January 2023,93
INSURANCE,E-QUOTE,NULL,15 January 2023,68
INSURANCE,E-QUOTE,NULL,14 January 2023,61
INSURANCE,E-QUOTE,NULL,13 January 2023,88
INSURANCE,E-QUOTE,NULL,12 January 2023,130
INSURANCE,E-QUOTE,NULL,11 January 2023,258
INSURANCE,E-QUOTE,NULL,10 January 2023,77
INSURANCE,E-QUOTE,NULL,9 January 2023,93
INSURANCE,E-QUOTE,NULL,8 January 2023,61
INSURANCE,E-QUOTE,NULL,7 January 2023,34
INSURANCE,E-QUOTE,NULL,6 January 2023,70
INSURANCE,E-QUOTE,NULL,5 January 2023,77
INSURANCE,E-QUOTE,NULL,4 January 2023,86
INSURANCE,E-QUOTE,NULL,3 January 2023,74
INSURANCE,E-QUOTE,NULL,2 January 2023,63
INSURANCE,E-QUOTE,NULL,1 January 2023,26
INSURANCE,E-QUOTE,NULL,31 December 2022,36
INSURANCE,E-QUOTE,NULL,30 December 2022,60
INSURANCE,E-QUOTE,NULL,29 December 2022,87
INSURANCE,E-QUOTE,NULL,28 December 2022,67
INSURANCE,E-QUOTE,NULL,27 December 2022,47
INSURANCE,E-QUOTE,NULL,26 December 2022,37
INSURANCE,E-QUOTE,NULL,25 December 2022,14
INSURANCE,E-QUOTE,NULL,24 December 2022,38
INSURANCE,E-QUOTE,NULL,23 December 2022,58
INSURANCE,E-QUOTE,NULL,22 December 2022,81
INSURANCE,E-QUOTE,NULL,21 December 2022,110
INSURANCE,E-QUOTE,NULL,20 December 2022,62
INSURANCE,E-QUOTE,NULL,19 December 2022,68
INSURANCE,E-QUOTE,NULL,18 December 2022,31
INSURANCE,E-QUOTE,NULL,17 December 2022,39
INSURANCE,E-QUOTE,NULL,16 December 2022,54
INSURANCE,E-QUOTE,NULL,15 December 2022,78
INSURANCE,E-QUOTE,NULL,14 December 2022,114
INSURANCE,E-QUOTE,NULL,13 December 2022,64
INSURANCE,E-QUOTE,NULL,12 December 2022,59
INSURANCE,E-QUOTE,NULL,11 December 2022,40
INSURANCE,E-QUOTE,NULL,10 December 2022,40
INSURANCE,E-QUOTE,NULL,9 December 2022,51
INSURANCE,E-QUOTE,NULL,8 December 2022,71
INSURANCE,E-QUOTE,NULL,7 December 2022,65
INSURANCE,E-QUOTE,NULL,6 December 2022,62
INSURANCE,E-QUOTE,NULL,5 December 2022,58
INSURANCE,E-QUOTE,NULL,4 December 2022,30
INSURANCE,E-QUOTE,NULL,3 December 2022,45
INSURANCE,E-QUOTE,NULL,2 December 2022,67
INSURANCE,E-QUOTE,NULL,1 December 2022,72
INSURANCE,E-QUOTE,NULL,30 November 2022,70
INSURANCE,E-QUOTE,NULL,29 November 2022,78
INSURANCE,E-QUOTE,NULL,28 November 2022,55
INSURANCE,E-QUOTE,NULL,27 November 2022,46
INSURANCE,E-QUOTE,NULL,26 November 2022,39
INSURANCE,E-QUOTE,NULL,25 November 2022,51
INSURANCE,E-QUOTE,NULL,24 November 2022,58
INSURANCE,E-QUOTE,NULL,23 November 2022,60
INSURANCE,E-QUOTE,NULL,22 November 2022,69
INSURANCE,E-QUOTE,NULL,21 November 2022,73
INSURANCE,E-QUOTE,NULL,20 November 2022,53
INSURANCE,E-QUOTE,NULL,19 November 2022,33
INSURANCE,E-QUOTE,NULL,18 November 2022,69
INSURANCE,E-QUOTE,NULL,17 November 2022,67
LIVING SUPER,NOT SUPPLIED,Existing,13 February 2023,5
LIVING SUPER,NOT SUPPLIED,NTB,13 February 2023,4
LIVING SUPER,NOT SUPPLIED,Existing,12 February 2023,3
LIVING SUPER,NOT SUPPLIED,Existing,11 February 2023,4
LIVING SUPER,NOT SUPPLIED,NTB,11 February 2023,1
LIVING SUPER,NOT SUPPLIED,Existing,10 February 2023,5
LIVING SUPER,NOT SUPPLIED,NTB,10 February 2023,1
LIVING SUPER,NOT SUPPLIED,Existing,9 February 2023,7
LIVING SUPER,NOT SUPPLIED,NTB,9 February 2023,1
LIVING SUPER,NOT SUPPLIED,Existing,8 February 2023,6
LIVING SUPER,NOT SUPPLIED,Existing,7 February 2023,5
LIVING SUPER,NOT SUPPLIED,NTB,7 February 2023,1
LIVING SUPER,NOT SUPPLIED,Existing,6 February 2023,6
LIVING SUPER,NOT SUPPLIED,NTB,6 February 2023,7
LIVING SUPER,NOT SUPPLIED,Existing,5 February 2023,6
LIVING SUPER,NOT SUPPLIED,NTB,5 February 2023,3
LIVING SUPER,NOT SUPPLIED,Existing,4 February 2023,3
LIVING SUPER,NOT SUPPLIED,NTB,4 February 2023,2
LIVING SUPER,NOT SUPPLIED,Existing,3 February 2023,6
LIVING SUPER,NOT SUPPLIED,Existing,2 February 2023,10
LIVING SUPER,NOT SUPPLIED,NTB,2 February 2023,2
LIVING SUPER,NOT SUPPLIED,Existing,1 February 2023,4
LIVING SUPER,NOT SUPPLIED,NTB,1 February 2023,3
LIVING SUPER,NOT SUPPLIED,Existing,31 January 2023,9
LIVING SUPER,NOT SUPPLIED,NTB,31 January 2023,2
LIVING SUPER,NOT SUPPLIED,Existing,30 January 2023,9
LIVING SUPER,NOT SUPPLIED,NTB,30 January 2023,4
LIVING SUPER,NOT SUPPLIED,Existing,29 January 2023,1
LIVING SUPER,NOT SUPPLIED,NTB,29 January 2023,3
LIVING SUPER,NOT SUPPLIED,Existing,28 January 2023,2
LIVING SUPER,NOT SUPPLIED,NTB,28 January 2023,2
LIVING SUPER,NOT SUPPLIED,NTB,27 January 2023,3
LIVING SUPER,NOT SUPPLIED,Existing,25 January 2023,6
LIVING SUPER,NOT SUPPLIED,NTB,25 January 2023,4
LIVING SUPER,NOT SUPPLIED,Existing,24 January 2023,12
LIVING SUPER,NOT SUPPLIED,NTB,24 January 2023,4
LIVING SUPER,NOT SUPPLIED,Existing,23 January 2023,11
LIVING SUPER,NOT SUPPLIED,NTB,23 January 2023,6
LIVING SUPER,NOT SUPPLIED,Existing,22 January 2023,4
LIVING SUPER,NOT SUPPLIED,NTB,22 January 2023,3
LIVING SUPER,NOT SUPPLIED,Existing,21 January 2023,2
LIVING SUPER,NOT SUPPLIED,NTB,21 January 2023,1
LIVING SUPER,NOT SUPPLIED,Existing,20 January 2023,4
LIVING SUPER,NOT SUPPLIED,NTB,20 January 2023,6
LIVING SUPER,NOT SUPPLIED,Existing,19 January 2023,6
LIVING SUPER,NOT SUPPLIED,NTB,19 January 2023,2
LIVING SUPER,NOT SUPPLIED,Existing,18 January 2023,4
LIVING SUPER,NOT SUPPLIED,NTB,18 January 2023,4
LIVING SUPER,NOT SUPPLIED,Existing,17 January 2023,7
LIVING SUPER,NOT SUPPLIED,NTB,17 January 2023,6
LIVING SUPER,NOT SUPPLIED,Existing,16 January 2023,7
LIVING SUPER,NOT SUPPLIED,NTB,16 January 2023,2
LIVING SUPER,NOT SUPPLIED,Existing,15 January 2023,3
LIVING SUPER,NOT SUPPLIED,NTB,15 January 2023,2
LIVING SUPER,NOT SUPPLIED,Existing,14 January 2023,1
LIVING SUPER,NOT SUPPLIED,NTB,14 January 2023,2
LIVING SUPER,NOT SUPPLIED,Existing,13 January 2023,2
LIVING SUPER,NOT SUPPLIED,NTB,13 January 2023,1
LIVING SUPER,NOT SUPPLIED,Existing,12 January 2023,6
LIVING SUPER,NOT SUPPLIED,NTB,12 January 2023,5
LIVING SUPER,NOT SUPPLIED,Existing,11 January 2023,9
LIVING SUPER,NOT SUPPLIED,NTB,11 January 2023,1
LIVING SUPER,NOT SUPPLIED,Existing,10 January 2023,16
LIVING SUPER,NOT SUPPLIED,NTB,10 January 2023,5
LIVING SUPER,NOT SUPPLIED,Existing,9 January 2023,7
LIVING SUPER,NOT SUPPLIED,NTB,9 January 2023,3
LIVING SUPER,NOT SUPPLIED,Existing,8 January 2023,1
LIVING SUPER,NOT SUPPLIED,NTB,8 January 2023,3
LIVING SUPER,NOT SUPPLIED,Existing,7 January 2023,3
LIVING SUPER,NOT SUPPLIED,NTB,7 January 2023,1
LIVING SUPER,NOT SUPPLIED,Existing,6 January 2023,5
LIVING SUPER,NOT SUPPLIED,NTB,6 January 2023,1
LIVING SUPER,NOT SUPPLIED,Existing,5 January 2023,10
LIVING SUPER,NOT SUPPLIED,NTB,5 January 2023,2
LIVING SUPER,NOT SUPPLIED,Existing,4 January 2023,4
LIVING SUPER,NOT SUPPLIED,NTB,4 January 2023,2
LIVING SUPER,NOT SUPPLIED,Existing,3 January 2023,4
LIVING SUPER,NOT SUPPLIED,NTB,3 January 2023,3
LIVING SUPER,NOT SUPPLIED,Existing,2 January 2023,2
