#=================================================================
# Panel
# Report suite: ING Direct Production Report Suite
"# Date: Nov 6, 2022 - Jan 31, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,home loan,HL app intro,HL app complete
,Product Views,HL app intro,HL app complete
Week,72779,14059,3093
2022-11-06,6685,1103,228
2022-11-13,5816,1141,238
2022-11-20,5762,1197,260
2022-11-27,5248,1104,240
2022-12-04,7680,1308,292
2022-12-11,5366,986,204
2022-12-18,4277,762,194
2022-12-25,3281,653,153
2023-01-01,5955,1127,266
2023-01-08,7086,1470,288
2023-01-15,6698,1345,291
2023-01-22,5889,1169,285
2023-01-29,3036,694,154


