Visitor or Client,Product page,Start application,Finish application,Category,con_1,con_2,target_con1,Date,MonthvsWeek,Sales
::unspecified::,863,0,0,Mortgages,0,NA,5,2022-03-01,Month,NA
client,2481,1826,1148,Mortgages,73.59935509875051,62.869660460021905,5,2022-03-01,Month,NA
None,0,0,0,Mortgages,NA,NA,5,2022-03-01,Month,NA
visitor,25935,1646,268,Mortgages,6.346635820320031,16.281895504252734,5,2022-03-01,Month,NA
::unspecified::,638,0,0,Mortgages,0,NA,5,2022-04-01,Month,NA
client,1845,1288,743,Mortgages,69.81029810298102,57.68633540372671,5,2022-04-01,Month,NA
None,0,0,0,Mortgages,NA,NA,5,2022-04-01,Month,NA
visitor,24957,747,240,Mortgages,2.993148214929679,32.1285140562249,5,2022-04-01,Month,NA
::unspecified::,694,0,0,Mortgages,0,NA,5,2022-05-01,Month,NA
client,2098,1483,734,Mortgages,70.68636796949475,49.49426837491571,5,2022-05-01,Month,NA
None,0,0,0,Mortgages,NA,NA,5,2022-05-01,Month,NA
visitor,30366,837,268,Mortgages,2.7563722584469472,32.01911589008363,5,2022-05-01,Month,NA
::unspecified::,725,0,0,Mortgages,0,NA,5,2022-06-01,Month,NA
client,1943,1315,693,Mortgages,67.67884714359238,52.69961977186311,5,2022-06-01,Month,NA
None,0,0,0,Mortgages,NA,NA,5,2022-06-01,Month,NA
visitor,28845,632,168,Mortgages,2.1910209741723,26.582278481012654,5,2022-06-01,Month,NA
::unspecified::,976,0,0,Mortgages,0,NA,5,2022-07-01,Month,NA
client,2392,1733,962,Mortgages,72.44983277591973,55.51067512983266,5,2022-07-01,Month,NA
None,0,0,0,Mortgages,NA,NA,5,2022-07-01,Month,NA
visitor,32283,842,200,Mortgages,2.6081838738655017,23.75296912114014,5,2022-07-01,Month,NA
::unspecified::,1050,0,0,Mortgages,0,NA,5,2022-08-01,Month,NA
client,2539,1941,1163,Mortgages,76.44742024419062,59.917568263781554,5,2022-08-01,Month,NA
None,0,0,0,Mortgages,NA,NA,5,2022-08-01,Month,NA
visitor,31168,930,289,Mortgages,2.983829568788501,31.0752688172043,5,2022-08-01,Month,NA
::unspecified::,745,0,0,Mortgages,0,NA,5,2022-09-01,Month,NA
client,2065,1453,921,Mortgages,70.36319612590799,63.38609772883689,5,2022-09-01,Month,NA
None,0,0,0,Mortgages,NA,NA,5,2022-09-01,Month,NA
visitor,26952,806,232,Mortgages,2.9905016325319087,28.78411910669975,5,2022-09-01,Month,NA
::unspecified::,814,0,0,Mortgages,0,NA,5,2022-10-01,Month,NA
client,2265,1628,970,Mortgages,71.87637969094924,59.58230958230958,5,2022-10-01,Month,NA
None,0,0,0,Mortgages,NA,NA,5,2022-10-01,Month,NA
visitor,28638,809,233,Mortgages,2.824917941197011,28.80098887515451,5,2022-10-01,Month,NA
::unspecified::,561,0,0,Mortgages,0,NA,5,2022-11-01,Month,NA
client,2196,1612,927,Mortgages,73.40619307832422,57.506203473945405,5,2022-11-01,Month,91
None,0,0,0,Mortgages,NA,NA,5,2022-11-01,Month,NA
visitor,25225,731,171,Mortgages,2.8979187314172448,23.392612859097127,5,2022-11-01,Month,7
::unspecified::,510,0,0,Mortgages,0,NA,5,2022-12-01,Month,NA
client,1681,1221,725,Mortgages,72.63533610945866,59.37755937755937,5,2022-12-01,Month,204
None,0,0,0,Mortgages,NA,NA,5,2022-12-01,Month,NA
visitor,20504,779,207,Mortgages,3.79925868123293,26.572528883183566,5,2022-12-01,Month,13
::unspecified::,831,0,0,Mortgages,0,NA,5,2023-01-01,Month,NA
client,2454,1760,1003,Mortgages,71.71964140179298,56.98863636363637,5,2023-01-01,Month,170
None,0,0,0,Mortgages,NA,NA,5,2023-01-01,Month,NA
visitor,25987,797,281,Mortgages,3.0669180744218263,35.257214554579676,5,2023-01-01,Month,11
::unspecified::,854,0,0,Mortgages,0,NA,5,2023-02-01,Month,NA
client,2489,1692,1018,Mortgages,67.97910807553235,60.16548463356975,5,2023-02-01,Month,81
None,0,0,0,Mortgages,NA,NA,5,2023-02-01,Month,NA
visitor,30942,921,289,Mortgages,2.9765367461702543,31.378935939196523,5,2023-02-01,Month,9
::unspecified::,165,0,0,Mortgages,0,NA,5,2022-02-28,Week,NA
client,451,345,230,Mortgages,76.49667405764967,66.66666666666666,5,2022-02-28,Week,NA
visitor,4630,243,37,Mortgages,5.248380129589632,15.22633744855967,5,2022-02-28,Week,NA
::unspecified::,180,0,0,Mortgages,0,NA,5,2022-03-07,Week,NA
client,494,380,219,Mortgages,76.92307692307693,57.631578947368425,5,2022-03-07,Week,NA
visitor,5281,527,62,Mortgages,9.979170611626586,11.76470588235294,5,2022-03-07,Week,NA
::unspecified::,197,0,0,Mortgages,0,NA,5,2022-03-14,Week,NA
client,652,465,311,Mortgages,71.31901840490798,66.88172043010752,5,2022-03-14,Week,NA
visitor,6371,468,46,Mortgages,7.345785590959034,9.82905982905983,5,2022-03-14,Week,NA
::unspecified::,215,0,0,Mortgages,0,NA,5,2022-03-21,Week,NA
client,565,417,248,Mortgages,73.80530973451327,59.47242206235012,5,2022-03-21,Week,NA
visitor,5786,284,73,Mortgages,4.908399585205669,25.704225352112676,5,2022-03-21,Week,NA
::unspecified::,164,0,0,Mortgages,0,NA,5,2022-03-28,Week,NA
client,482,334,210,Mortgages,69.29460580912863,62.874251497005986,5,2022-03-28,Week,NA
visitor,5869,179,67,Mortgages,3.0499233259499063,37.43016759776536,5,2022-03-28,Week,NA
::unspecified::,138,0,0,Mortgages,0,NA,5,2022-04-04,Week,NA
client,419,303,183,Mortgages,72.31503579952268,60.396039603960396,5,2022-04-04,Week,NA
visitor,6340,168,46,Mortgages,2.6498422712933754,27.380952380952383,5,2022-04-04,Week,NA
::unspecified::,134,0,0,Mortgages,0,NA,5,2022-04-11,Week,NA
client,387,248,146,Mortgages,64.08268733850129,58.87096774193549,5,2022-04-11,Week,NA
visitor,4838,177,56,Mortgages,3.6585365853658534,31.63841807909605,5,2022-04-11,Week,NA
::unspecified::,163,0,0,Mortgages,0,NA,5,2022-04-18,Week,NA
client,442,329,169,Mortgages,74.43438914027149,51.3677811550152,5,2022-04-18,Week,NA
visitor,5129,166,68,Mortgages,3.2364983427568723,40.963855421686745,5,2022-04-18,Week,NA
::unspecified::,164,0,0,Mortgages,0,NA,5,2022-04-25,Week,NA
client,502,344,206,Mortgages,68.52589641434263,59.883720930232556,5,2022-04-25,Week,NA
visitor,7389,203,66,Mortgages,2.7473271078630397,32.51231527093596,5,2022-04-25,Week,NA
::unspecified::,198,0,0,Mortgages,0,NA,5,2022-05-02,Week,NA
client,613,415,165,Mortgages,67.69983686786297,39.75903614457831,5,2022-05-02,Week,NA
visitor,11758,292,74,Mortgages,2.483415546861711,25.34246575342466,5,2022-05-02,Week,NA
::unspecified::,148,0,0,Mortgages,0,NA,5,2022-05-09,Week,NA
client,460,355,136,Mortgages,77.17391304347827,38.309859154929576,5,2022-05-09,Week,NA
visitor,5989,164,55,Mortgages,2.738353648355318,33.53658536585366,5,2022-05-09,Week,NA
::unspecified::,137,0,0,Mortgages,0,NA,5,2022-05-16,Week,NA
client,414,278,165,Mortgages,67.14975845410628,59.352517985611506,5,2022-05-16,Week,NA
visitor,5324,147,46,Mortgages,2.7610818933132983,31.292517006802722,5,2022-05-16,Week,NA
::unspecified::,130,0,0,Mortgages,0,NA,5,2022-05-23,Week,NA
client,398,266,163,Mortgages,66.83417085427136,61.278195488721806,5,2022-05-23,Week,NA
