Last Touch Marketing Channel,Product page,Start application,Finish application,Category,con_1,con_2,Date,MonthvsWeek,Visitor or Client
::unspecified::,296,0,0,Mortgages,0,NA,2022-02-28,Week,total
Affiliate,442,13,3,Mortgages,2.941176470588235,23.076923076923077,2022-02-28,Week,total
Direct,858276,216,91,Mortgages,0.025166729583490623,42.129629629629626,2022-02-28,Week,total
Display,1139,3,0,Mortgages,0.2633889376646181,0,2022-02-28,Week,total
Email,2899,4,2,Mortgages,0.1379786133149362,50,2022-02-28,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-02-28,Week,total
Natural Search,163441,288,141,Mortgages,0.17621037560954717,48.95833333333333,2022-02-28,Week,total
Paid Search,13333,102,29,Mortgages,0.7650191254781369,28.431372549019606,2022-02-28,Week,total
Referring Domains,16047,6,1,Mortgages,0.03739016638624042,16.666666666666664,2022-02-28,Week,total
Social Networks,265,0,0,Mortgages,0,NA,2022-02-28,Week,total
::unspecified::,397,0,0,Mortgages,0,NA,2022-03-07,Week,total
Affiliate,411,9,4,Mortgages,2.18978102189781,44.44444444444444,2022-03-07,Week,total
Direct,985089,374,106,Mortgages,0.03796611270656763,28.342245989304814,2022-03-07,Week,total
Display,49,0,0,Mortgages,0,NA,2022-03-07,Week,total
Email,3334,6,2,Mortgages,0.1799640071985603,33.33333333333333,2022-03-07,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-03-07,Week,total
Natural Search,180992,436,134,Mortgages,0.24089462517680338,30.73394495412844,2022-03-07,Week,total
Paid Search,14822,103,31,Mortgages,0.6949129672109028,30.097087378640776,2022-03-07,Week,total
Referring Domains,14406,10,4,Mortgages,0.06941552131056504,40,2022-03-07,Week,total
Social Networks,2362,3,0,Mortgages,0.12701100762066045,0,2022-03-07,Week,total
::unspecified::,408,0,0,Mortgages,0,NA,2022-03-14,Week,total
Affiliate,338,15,3,Mortgages,4.437869822485207,20,2022-03-14,Week,total
Direct,971607,386,146,Mortgages,0.039727997019371,37.82383419689119,2022-03-14,Week,total
Display,26,0,0,Mortgages,0,NA,2022-03-14,Week,total
Email,4026,2,1,Mortgages,0.04967709885742673,50,2022-03-14,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-03-14,Week,total
Natural Search,183107,425,160,Mortgages,0.23210472565221427,37.64705882352941,2022-03-14,Week,total
Paid Search,16692,116,39,Mortgages,0.6949436855978912,33.62068965517241,2022-03-14,Week,total
Referring Domains,14732,13,7,Mortgages,0.08824327993483573,53.84615384615385,2022-03-14,Week,total
Social Networks,1630,1,1,Mortgages,0.06134969325153375,100,2022-03-14,Week,total
::unspecified::,626,0,0,Mortgages,0,NA,2022-03-21,Week,total
Affiliate,214,14,1,Mortgages,6.5420560747663545,7.142857142857142,2022-03-21,Week,total
Direct,924063,312,131,Mortgages,0.03376393167998286,41.98717948717949,2022-03-21,Week,total
Display,12,0,0,Mortgages,0,NA,2022-03-21,Week,total
Email,1836,0,0,Mortgages,0,NA,2022-03-21,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-03-21,Week,total
Natural Search,179212,369,158,Mortgages,0.20590139053188405,42.81842818428184,2022-03-21,Week,total
Paid Search,17872,92,30,Mortgages,0.5147717099373321,32.608695652173914,2022-03-21,Week,total
Referring Domains,14848,14,1,Mortgages,0.09428879310344827,7.142857142857142,2022-03-21,Week,total
Social Networks,1472,0,0,Mortgages,0,NA,2022-03-21,Week,total
::unspecified::,490,0,0,Mortgages,0,NA,2022-03-28,Week,total
Affiliate,217,0,0,Mortgages,0,NA,2022-03-28,Week,total
Direct,958666,201,119,Mortgages,0.02096663488639422,59.20398009950249,2022-03-28,Week,total
Display,34,0,0,Mortgages,0,NA,2022-03-28,Week,total
Email,1891,3,1,Mortgages,0.15864621893178213,33.33333333333333,2022-03-28,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-03-28,Week,total
Natural Search,183877,304,127,Mortgages,0.16532790941770859,41.776315789473685,2022-03-28,Week,total
Paid Search,15191,67,28,Mortgages,0.4410506220788625,41.7910447761194,2022-03-28,Week,total
Referring Domains,13470,7,2,Mortgages,0.05196733481811433,28.57142857142857,2022-03-28,Week,total
Social Networks,1626,0,0,Mortgages,0,NA,2022-03-28,Week,total
::unspecified::,397,0,0,Mortgages,0,NA,2022-04-04,Week,total
Affiliate,697,6,4,Mortgages,0.860832137733142,66.66666666666666,2022-04-04,Week,total
Direct,842846,208,101,Mortgages,0.0246782923570854,48.55769230769231,2022-04-04,Week,total
Display,52,0,0,Mortgages,0,NA,2022-04-04,Week,total
Email,389,3,2,Mortgages,0.7712082262210797,66.66666666666666,2022-04-04,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-04-04,Week,total
Natural Search,174543,258,99,Mortgages,0.14781457864251216,38.372093023255815,2022-04-04,Week,total
Paid Search,13062,52,20,Mortgages,0.3981013627315878,38.46153846153847,2022-04-04,Week,total
Referring Domains,11405,12,3,Mortgages,0.10521701008329679,25,2022-04-04,Week,total
Social Networks,2177,1,0,Mortgages,0.045934772622875514,0,2022-04-04,Week,total
::unspecified::,642,0,0,Mortgages,0,NA,2022-04-11,Week,total
Affiliate,591,4,3,Mortgages,0.676818950930626,75,2022-04-11,Week,total
Direct,865666,156,69,Mortgages,0.01802080710112214,44.230769230769226,2022-04-11,Week,total
Display,77,0,0,Mortgages,0,NA,2022-04-11,Week,total
Email,7532,2,0,Mortgages,0.02655337227827934,0,2022-04-11,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-04-11,Week,total
Natural Search,156271,280,107,Mortgages,0.17917591875651911,38.21428571428571,2022-04-11,Week,total
Paid Search,11890,48,23,Mortgages,0.40370058873002523,47.91666666666667,2022-04-11,Week,total
Referring Domains,10591,1,0,Mortgages,0.009441979038806534,0,2022-04-11,Week,total
Social Networks,189,0,0,Mortgages,0,NA,2022-04-11,Week,total
::unspecified::,467,0,0,Mortgages,0,NA,2022-04-18,Week,total
Affiliate,622,11,1,Mortgages,1.7684887459807075,9.090909090909092,2022-04-18,Week,total
Direct,868687,209,92,Mortgages,0.02405929868871066,44.01913875598086,2022-04-18,Week,total
Display,4,0,0,Mortgages,0,NA,2022-04-18,Week,total
Email,2720,1,0,Mortgages,0.03676470588235294,0,2022-04-18,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-04-18,Week,total
Natural Search,166915,269,108,Mortgages,0.16115987179103136,40.14869888475837,2022-04-18,Week,total
Paid Search,11400,51,29,Mortgages,0.4473684210526315,56.86274509803921,2022-04-18,Week,total
Referring Domains,11869,15,5,Mortgages,0.12637964445193361,33.33333333333333,2022-04-18,Week,total
Social Networks,170,3,2,Mortgages,1.7647058823529411,66.66666666666666,2022-04-18,Week,total
::unspecified::,507,0,0,Mortgages,0,NA,2022-04-25,Week,total
Affiliate,444,23,10,Mortgages,5.18018018018018,43.47826086956522,2022-04-25,Week,total
Direct,899286,204,112,Mortgages,0.02268466316611178,54.90196078431373,2022-04-25,Week,total
Display,5,0,0,Mortgages,0,NA,2022-04-25,Week,total
Email,5205,0,0,Mortgages,0,NA,2022-04-25,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-04-25,Week,total
Natural Search,178050,294,122,Mortgages,0.16512215669755687,41.49659863945578,2022-04-25,Week,total
Paid Search,11984,64,21,Mortgages,0.5340453938584779,32.8125,2022-04-25,Week,total
Referring Domains,10919,10,6,Mortgages,0.09158347834050737,60,2022-04-25,Week,total
Social Networks,1622,1,1,Mortgages,0.06165228113440197,100,2022-04-25,Week,total
::unspecified::,410,0,0,Mortgages,0,NA,2022-05-02,Week,total
Affiliate,1021,20,4,Mortgages,1.9588638589618024,20,2022-05-02,Week,total
Direct,910021,257,82,Mortgages,0.028241106523915382,31.906614785992215,2022-05-02,Week,total
Display,18,0,0,Mortgages,0,NA,2022-05-02,Week,total
Email,1799,1,1,Mortgages,0.055586436909394105,100,2022-05-02,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-05-02,Week,total
