Calculators,Campaign page,Product page app,Product page open,Product page secured,Date,Product page target,Visitor or Client,MonthvsWeek,month,target_PP_23
24492,1065,0,8669,194,2022-02-28,9928,total,Week,February,62430.22
26526,1186,0,9748,226,2022-03-07,11160,total,Week,March,59296.19
30266,1531,0,11792,300,2022-03-14,13623,total,Week,March,59296.19
28338,1267,0,10834,275,2022-03-21,12376,total,Week,March,59296.19
30966,981,0,10973,235,2022-03-28,12189,total,Week,March,59296.19
26139,914,0,11474,201,2022-04-04,12589,total,Week,April,54046.770000000004
24973,778,0,8982,205,2022-04-11,9965,total,Week,April,54046.770000000004
25030,1020,0,9486,213,2022-04-18,10719,total,Week,April,54046.770000000004
26865,1350,0,12822,277,2022-04-25,14449,total,Week,April,54046.770000000004
29990,1973,0,21931,360,2022-05-02,24264,total,Week,May,67625.07
25093,916,0,11288,249,2022-05-09,12453,total,Week,May,67625.07
25400,837,0,10035,219,2022-05-16,11091,total,Week,May,67625.07
22405,723,13,9372,212,2022-05-23,10307,total,Week,May,67625.07
25947,981,4,9203,197,2022-05-30,10381,total,Week,May,67625.07
31836,1519,1815,19464,304,2022-06-06,21287,total,Week,June,68897.3
27058,1286,2095,12289,241,2022-06-13,13816,total,Week,June,68897.3
27504,1477,1337,12244,198,2022-06-20,13919,total,Week,June,68897.3
25900,1731,1264,12569,214,2022-06-27,14514,total,Week,June,68897.3
34820,2525,1695,18330,294,2022-07-04,21149,total,Week,July,83251.35
28908,1320,1346,12737,218,2022-07-11,14275,total,Week,July,83251.35
31794,1143,1313,13983,221,2022-07-18,15347,total,Week,July,83251.35
34259,1107,1538,19532,265,2022-07-25,20904,total,Week,July,83251.35
40218,1439,1945,23533,271,2022-08-01,25243,total,Week,August,84999.73000000001
31962,1015,1267,14854,225,2022-08-08,16094,total,Week,August,84999.73000000001
34247,2012,1319,11941,209,2022-08-15,14162,total,Week,August,84999.73000000001
32984,2018,1379,14120,221,2022-08-22,16359,total,Week,August,84999.73000000001
37021,2211,1410,12496,214,2022-08-29,14921,total,Week,August,84999.73000000001
37625,2292,1694,15427,238,2022-09-05,17957,total,Week,September,72411.18000000001
33760,1788,1448,14081,194,2022-09-12,16063,total,Week,September,72411.18000000001
32343,1686,1320,12240,225,2022-09-19,14151,total,Week,September,72411.18000000001
36415,2086,1495,12899,210,2022-09-26,15195,total,Week,September,72411.18000000001
42266,2711,1651,17179,249,2022-10-03,20139,total,Week,October,75429.65000000001
32725,2042,1630,13572,216,2022-10-10,15830,total,Week,October,75429.65000000001
36116,2032,1553,12616,218,2022-10-17,14866,total,Week,October,75429.65000000001
29884,1775,1472,12388,221,2022-10-24,14384,total,Week,October,75429.65000000001
34197,1658,1851,15364,260,2022-10-31,17282,total,Week,October,75429.65000000001
28162,1132,1389,13430,197,2022-11-07,14759,total,Week,November,68661.90000000001
32923,1644,1240,12893,181,2022-11-14,14718,total,Week,November,68661.90000000001
29211,1780,1054,11356,205,2022-11-21,13341,total,Week,November,68661.90000000001
25956,1494,1240,10715,193,2022-11-28,12402,total,Week,November,68661.90000000001
32048,3325,1425,14387,210,2022-12-05,17922,total,Week,December,58776.170000000006
27505,2943,1082,9253,170,2022-12-12,12366,total,Week,December,58776.170000000006
23041,2780,962,7390,117,2022-12-19,10287,total,Week,December,58776.170000000006
27399,2603,1218,6424,156,2022-12-26,9183,total,Week,December,58776.170000000006
31847,1248,1772,11199,231,2023-01-02,12678,total,Week,January,61405.16
33155,721,1758,13338,258,2023-01-09,14317,total,Week,January,61405.16
32448,391,1733,12865,259,2023-01-16,13515,total,Week,January,61405.16
31016,351,1571,11390,226,2023-01-23,11967,total,Week,January,61405.16
35799,782,2198,14230,294,2023-01-30,15306,total,Week,January,61405.16
39507,1793,2305,18599,317,2023-02-06,20709,total,Week,February,62430.22
35905,2317,1835,15534,293,2023-02-13,18144,total,Week,February,62430.22
34850,1950,1805,15071,235,2023-02-20,17256,total,Week,February,62430.22
11473,459,573,5330,108,2023-02-27,5897,total,Week,February,62430.22
0,0,0,0,194,2022-02-28,194,client,Week,February,62430.22
24492,1065,NA,8669,0,2022-02-28,9734,visitor,Week,February,62430.22
0,0,0,0,226,2022-03-07,226,client,Week,March,59296.19
26526,1186,NA,9748,0,2022-03-07,10934,visitor,Week,March,59296.19
0,0,0,0,300,2022-03-14,300,client,Week,March,59296.19
30266,1531,NA,11792,0,2022-03-14,13323,visitor,Week,March,59296.19
0,0,0,0,275,2022-03-21,275,client,Week,March,59296.19
28338,1267,NA,10834,0,2022-03-21,12101,visitor,Week,March,59296.19
0,0,0,0,235,2022-03-28,235,client,Week,March,59296.19
30966,981,NA,10973,0,2022-03-28,11954,visitor,Week,March,59296.19
0,0,0,0,201,2022-04-04,201,client,Week,April,54046.770000000004
26139,914,NA,11474,0,2022-04-04,12388,visitor,Week,April,54046.770000000004
0,0,0,0,205,2022-04-11,205,client,Week,April,54046.770000000004
24973,778,NA,8982,0,2022-04-11,9760,visitor,Week,April,54046.770000000004
0,0,0,0,213,2022-04-18,213,client,Week,April,54046.770000000004
25030,1020,NA,9486,0,2022-04-18,10506,visitor,Week,April,54046.770000000004
0,0,0,0,277,2022-04-25,277,client,Week,April,54046.770000000004
26865,1350,NA,12822,0,2022-04-25,14172,visitor,Week,April,54046.770000000004
0,0,0,0,360,2022-05-02,360,client,Week,May,67625.07
29990,1973,NA,21931,0,2022-05-02,23904,visitor,Week,May,67625.07
0,0,0,0,249,2022-05-09,249,client,Week,May,67625.07
25093,916,NA,11288,0,2022-05-09,12204,visitor,Week,May,67625.07
0,0,0,0,219,2022-05-16,219,client,Week,May,67625.07
25400,837,NA,10035,0,2022-05-16,10872,visitor,Week,May,67625.07
0,0,13,0,212,2022-05-23,212,client,Week,May,67625.07
