#=================================================================
# Product pages per product - mobile app
# Report suite: Mobile: Native App
"# Date: Dec 5, 2022 - Feb 2, 2023"
# This reports on the product pages inside the mobile app
# menu > Products menu > Home loans
#=================================================================


##############################################
# Freeform table
##############################################
,Orange Advantage,Orange Advantage,Mortgage Simplifier,Mortgage Simplifier,Fixed Rate,Fixed Rate
,Product view,Product CTA click,Product view,Product CTA click,Product view,Product CTA click
Week,5842,552,4594,364,3708,203
2022-12-04,540,50,435,36,459,33
2022-12-11,475,47,364,42,331,25
2022-12-18,482,49,375,26,309,16
2022-12-25,502,37,395,40,330,15
2023-01-01,820,68,593,27,498,30
2023-01-08,837,92,672,67,471,26
2023-01-15,800,74,657,55,481,19
2023-01-22,756,75,588,39,435,16
2023-01-29,630,60,515,32,394,23


