#=================================================================
# Product pages per product - mobile app
# Report suite: Mobile: Native App
"# Date: Nov 11, 2022 - Feb 8, 2023"
# This reports on the product pages inside the mobile app
# menu > Products menu > Home loans
#=================================================================


##############################################
# Freeform table
##############################################
,Orange Advantage,Orange Advantage,Mortgage Simplifier,Mortgage Simplifier,Fixed Rate,Fixed Rate
,Product view,Product CTA click,Product view,Product CTA click,Product view,Product CTA click
Week,8527,765,6793,542,5526,314
2022-11-06,139,11,110,10,112,3
2022-11-13,574,41,486,42,358,16
2022-11-20,465,40,402,42,314,22
2022-11-27,550,49,472,35,340,22
2022-12-04,600,58,488,42,501,34
2022-12-11,475,47,364,42,331,25
2022-12-18,482,49,375,26,309,16
2022-12-25,502,37,395,40,330,15
2023-01-01,820,68,593,27,498,30
2023-01-08,837,92,672,67,471,26
2023-01-15,800,74,657,55,481,19
2023-01-22,756,75,588,39,435,16
2023-01-29,1010,89,782,48,639,37
2023-02-05,517,35,409,27,407,33


