#=================================================================
# Product pages - web - per product
# Report suite: ING Direct Production Report Suite
"# Date: Dec 5, 2022 - Feb 2, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,ingdirect:home-loans,ingdirect:home-loans:orange-advantage,ingdirect:home-loans:fixed-rate-home-loan,ingdirect:home-loans:mortgage-simplifier,ingdirect:banking:products:home-loans:mortgage-simplifier,ingdirect:banking:products:home-loans:orange-advantage,ingdirect:banking:products:home-loans:fixed-rate-home-loan
,Visits,Visits,Visits,Visits,Visits,Visits,Visits
Week,53728,14758,13908,12178,681,601,530
2022-12-04,7485,1901,2452,1628,73,56,55
2022-12-11,5048,1588,1421,1369,77,53,56
2022-12-18,4325,1354,1106,1040,49,42,32
2022-12-25,3296,929,833,833,55,47,38
2023-01-01,6205,1746,1599,1386,80,81,70
2023-01-08,7656,2137,1804,1644,99,80,76
2023-01-15,7491,1962,1715,1698,103,83,73
2023-01-22,6628,1735,1544,1445,78,78,75
2023-01-29,5595,1406,1434,1135,67,81,55


