#=================================================================
# Product pages - web - per product
# Report suite: ING Direct Production Report Suite
"# Date: Dec 6, 2022 - Feb 3, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,ingdirect:home-loans,ingdirect:home-loans:orange-advantage,ingdirect:banking:products:home-loans:orange-advantage,ingdirect:home-loans:mortgage-simplifier,ingdirect:banking:products:home-loans:mortgage-simplifier,ingdirect:home-loans:fixed-rate-home-loan,ingdirect:banking:products:home-loans:fixed-rate-home-loan
,Visits,Visits,Visits,Visits,Visits,Visits,Visits
Week,53535,14743,603,12156,685,13877,534
2022-12-04,6304,1592,49,1357,64,2134,46
2022-12-11,5048,1588,53,1369,77,1421,56
2022-12-18,4325,1354,42,1040,49,1106,32
2022-12-25,3296,929,47,833,55,833,38
2023-01-01,6205,1746,81,1386,80,1599,70
2023-01-08,7656,2137,80,1644,99,1804,76
2023-01-15,7491,1962,83,1698,103,1715,73
2023-01-22,6628,1735,78,1445,78,1544,75
2023-01-29,6583,1700,90,1384,80,1721,68


