#=================================================================
# Panel
# Report suite: ING Direct Production Report Suite
"# Date: Nov 18, 2022 - Feb 15, 2023"
# Segments: Product = HL
#=================================================================


##############################################
# Freeform table
##############################################
,Natural Search,Natural Search,Natural Search,Direct,Direct,Direct,Paid Search,Paid Search,Paid Search,Referring Domains,Referring Domains,Referring Domains,Affiliate,Affiliate,Affiliate
,Visits,HL app intro,HL app complete,Visits,HL app intro,HL app complete,Visits,HL app intro,HL app complete,Visits,HL app intro,HL app complete,Visits,HL app intro,HL app complete
Week,44107,6618,1373,26441,6584,1653,3008,1228,231,1147,319,67,354,119,29
2022-11-13,684,103,22,481,126,29,65,26,5,18,9,3,8,3,2
2022-11-20,3090,459,94,1992,585,129,235,111,22,79,23,7,51,18,8
2022-11-27,2942,481,109,1858,532,114,133,38,6,91,31,5,52,20,6
2022-12-04,3981,446,91,2536,630,158,385,143,30,99,41,7,90,43,6
2022-12-11,2543,339,71,2003,474,104,322,131,23,56,23,4,75,18,2
2022-12-18,2108,313,77,1548,299,83,318,120,27,52,15,2,50,15,5
2022-12-25,1691,184,44,1082,285,81,310,176,26,52,7,2,26,1,0
2023-01-01,3263,533,120,1992,479,124,210,89,14,82,20,7,0,0,0
2023-01-08,4036,744,137,2205,615,128,156,84,17,91,20,6,1,0,0
2023-01-15,3986,674,124,2143,539,148,99,30,9,121,31,5,0,0,0
2023-01-22,3590,622,129,1894,484,145,82,32,7,104,26,4,0,0,0
2023-01-29,4424,692,135,2318,622,189,150,62,15,106,39,6,0,0,0
2023-02-05,5563,759,158,3054,629,145,314,114,16,140,19,5,1,1,0
2023-02-12,2209,269,62,1337,285,76,229,72,14,56,15,4,0,0,0


