#=================================================================
# Conversion
# Report suite: ING Direct Production Report Suite
"# Date: Nov 11, 2022 - Feb 8, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,Product = HL,Product = HL,Product = HL,Product = HL,Product = HL,Product = HL,Product = HL,Product = HL,Product = HL
,Visits,Visits,Visits,HL app intro,HL app intro,HL app intro,HL app complete,HL app complete,HL app complete
,client,visitor,Unspecified,client,visitor,Unspecified,client,visitor,Unspecified
Week,6226,69687,1893,4607,10210,0,2615,693,0
2022-11-06,107,1246,35,92,185,0,51,9,0
2022-11-13,474,5395,162,345,796,0,199,39,0
2022-11-20,509,5225,123,400,797,0,213,47,0
2022-11-27,470,4875,11,346,758,0,202,38,0
2022-12-04,518,6878,172,391,917,0,236,56,0
2022-12-11,410,4814,136,309,677,0,154,50,0
2022-12-18,294,3929,99,222,540,0,135,59,0
2022-12-25,298,3011,98,212,441,0,126,27,0
2023-01-01,500,5314,178,345,782,0,201,65,0
2023-01-08,589,6222,215,426,1044,0,225,63,0
2023-01-15,572,6143,179,414,931,0,228,63,0
2023-01-22,501,5438,160,392,777,0,224,61,0
2023-01-29,640,6749,203,461,1011,0,290,69,0
2023-02-05,346,4451,122,252,554,0,131,47,0


