#=================================================================
# High level stats
# Report suite: ING Direct Production Report Suite
"# Date: Nov 6, 2022 - Jan 30, 2023"
#=================================================================


##############################################
# Home loan app start rate
# The conversion rate of online home loan applications starts divided by the number of home loan product page views
##############################################
,home loan,HL app intro,HL app intro / Product views
,Product Views,HL app intro,HL app intro / Product views
Week,73979,13668,0.1847551332134795
2022-11-06,6931,1103,0.15914009522435435
2022-11-13,6061,1141,0.18825276357036794
2022-11-20,5990,1197,0.1998330550918197
2022-11-27,5344,1104,0.20658682634730538
2022-12-04,7977,1308,0.16397141782625047
2022-12-11,5602,986,0.17600856836843984
2022-12-18,4427,762,0.17212559295233792
2022-12-25,3457,653,0.18889210297946196
2023-01-01,6269,1127,0.1797734885946722
2023-01-08,7444,1470,0.19747447608812466
2023-01-15,6998,1345,0.19219777079165476
2023-01-22,6161,1169,0.18974192501217335
2023-01-29,1318,303,0.2298937784522003


##############################################
# Home loan app completes
# This shows the number of ONLINE mortgage applications.
# This number won't match up with the number of direct  channel applications as direct includes online and contact centre.
##############################################
,HL app complete
Week,3005
2022-11-06,228
2022-11-13,238
2022-11-20,260
2022-11-27,240
2022-12-04,292
2022-12-11,204
2022-12-18,194
2022-12-25,153
2023-01-01,266
2023-01-08,288
2023-01-15,291
2023-01-22,285
2023-01-29,66


#=================================================================
# Online channel traffic
# Report suite: ING Direct Production Report Suite
"# Date: Nov 6, 2022 - Jan 30, 2023"
"# To turn anything into a line chart to track progress, "
"# right click the number > ""visualise"" > line"
#=================================================================


##############################################
# Visitor site
##############################################
,Visits
Page,137143
ingdirect:home-loans,79999
ingdirect:home-loans:orange-advantage,20360
ingdirect:home-loans:fixed-rate-home-loan,19445
ingdirect:home-loans:mortgage-simplifier,17339


##############################################
# Segment pages
##############################################
,Visits
Page,11937
ingdirect:home-loans:refinance,6709
ingdirect:home-loans:invest,1934
ingdirect:home-loans:first-home-buyers,1156
ingdirect:home-loans:manage-my-loan,1062
ingdirect:home-loans:how-to-apply,569
ingdirect:home-loans:next-home-loan,507


##############################################
# Campaign pages
##############################################
,Visits
Page,26857
campaigns:ingdirect:home-loans,17334
campaigns:ingdirect:home-loans:affiliate,3243
campaigns:ingdirect:refinance,2398
campaigns:ingdirect:first-home-truths,2020
campaigns:ingdirect:homeloans:review,575
campaigns:ingdirect:home-equity,519
campaigns:ingdirect:investor-home-loans,406
campaigns:ingdirect:home-loan-glossary,148
campaigns:ingdirect:home-reno,126
campaigns:ingdirect:first-home-truths:tools,52
campaigns:ingdirect:first-home-buyers,36


##############################################
# Client site product pages
##############################################
,Visits
Page,6240
ingdirect:banking:products:home-loans:compare-home-loans,3775
ingdirect:banking:products:home-loans:mortgage-simplifier,910
ingdirect:banking:products:home-loans:orange-advantage,813
ingdirect:banking:products:home-loans:fixed-rate-home-loan,742


##############################################
# Home Loan guides (top 10)
##############################################
,Visits
Page,7810
ingdirect:home-loans:tips-hints-guides:managing-my-loan,1829
ingdirect:home-loans:tips-hints-guides:offset-accounts-overview,1400
ingdirect:home-loans:tips-hints-guides:home-loan-pre-approval-benefits,731
ingdirect:home-loans:tips-hints-guides:how-much-will-it-cost-me-to-refinance,573
ingdirect:home-loans:tips-hints-guides:equity-home-loan,528
ingdirect:home-loans:tips-hints-guides:deposit-and-upfront-costs,487
ingdirect:help-and-support:tips-hints-guides:home-loans,454
ingdirect:home-loans:tips-hints-guides:tips-for-mortgage-refinancing,437
ingdirect:home-loans:tips-hints-guides:compare-mortgage-types,407
ingdirect:home-loans:tips-hints-guides:first-home-buyers-faq,372


##############################################
# Home Loan calculators (top 25)
##############################################
,Visits
Page,135980
ingdirect:home-loans:calculators:borrowing-power,52358
ingdirect:home-loans:calculators:repayments,45129
ingdirect:home-loans:calculators:borrowing-power:loan-type,37219
ingdirect:home-loans:calculators:borrowing-power:expenses,30416
ingdirect:home-loans:calculators:borrowing-power:financial-commitments,29484
ingdirect:home-loans:calculators:borrowing-power:results,29377
ingdirect:home-loans:calculators:borrowing-power:dependants,29297
ingdirect:home-loans:calculators:extra-loan-repayments,23346
ingdirect:home-loans:calculators:borrowing-power:app1-income,17236
ingdirect:home-loans:calculators:borrowing-power:my-income,16529
ingdirect:home-loans:calculators:borrowing-power:app2-income,15962
ingdirect:home-loans:calculators:offset,14651
ingdirect:home-loans:calculators:rental-yield-calculator,7626
ingdirect:home-loans:calculators:equity-calculator,3359
ingdirect:home-loans:calculators:stamp-duty,3141
ingdirect:home-loans:calculators:refinance,1973
ingdirect:home-loans:calculators:lump-sum,1743
ingdirect:home-loans:calculators:buying-cost,1095
ingdirect:home-loans:mortgage-simplifier:tools and calculators,904
ingdirect:home-loans:orange-advantage:tools and calculators,879
ingdirect:home-loans:calculators:loan-comparison,725
ingdirect:home-loans:fixed-rate-home-loan:tools and calculators,518
ingdirect:home-loans:calculators:split-loan,362
ingdirect:home-loans:calculators:where-can-i-buy,93
ingdirect:home-loans:tools & calculators,34


#=================================================================
# Mobile channel traffic *excludes UNICA banners
# Report suite: Mobile: Native App
"# Date: Nov 6, 2022 - Jan 30, 2023"
# This reports on the product pages inside the mobile app
# menu > Products menu > Home loans
#=================================================================


##############################################
# Freeform table
##############################################
,Product view,Product CTA click,Mobile Product pages - CTR
Product,18667,1484,0.23085844872885453
Orange Advantage,7635,703,0.09207596594629994
Mortgage Simplifier,6102,504,0.08259587020648967
Fixed Rate,4930,277,0.05618661257606491


#=================================================================
# Campaign tracking
# Report suite: ING Direct Production Report Suite
"# Date: Nov 6, 2022 - Jan 30, 2023"
#=================================================================


##############################################
# CID tracking (top 25) (first touch attribution)
# You can filter by :
"# "
# ps = paid search
# app = mobile app product page (not UNICA banner)
# edm = edm
# aff = affiliate
##############################################
,HL app intro,HL app complete,Visits
Tracking Code,2048,435,401997
ps:goo:gadw:ing-hl-HL-Brand:e:ing home loan,403,97,6262
ps:goo:gadw:ing-hl-HL-Brand:p:ing home loan,250,50,6952
ps:goo:gadw:ing-hl-Calc-Brand:p:ing home loan calculator,161,35,10165
ps:goo:gadw:ing-hl-HL-Brand:e:ing direct home loan,104,24,1282
aff:Mozo:hom:HomeLoans22,101,28,2396
ps:goo:gadw:ing-hl-Refi-Brand:p:ing refinance,94,18,1080
ps:goo:gadw:ing-hl-Refi-Brand:p:ing refinance home loan,68,14,431
app:product:apply:ing-hl-oa,52,16,69
ps:goo:gadw:ing-hl-HL-Brand:e:ing home loan pre approval,52,12,125
ps:goo:gadw:ing-hl-Calc-Brand:e:ing borrowing power,52,10,2275
edm:cem:ecgn:ing-hl-C000000932:A000166167:intro,51,3,547
ps:goo:gadw:ing-hl-HL-Generic:p:home loan,48,16,2947
ps:goo:gadw:ing-hl-Calc-Brand:p:ing mortgage calculator,43,10,2329
aff:RateCity:hom:HomeLoans22,43,7,1345
ps:goo:gadw:ing-hl-HL-Brand:e:ing home loan rate,38,8,1530
ps:goo:gadw:ing-hl-HL-Brand:p:ing direct home loan,28,6,629
ps:goo:gadw:ing-hl-Calc-Generic:p:home loan calculator,23,4,3336
ps:goo:gadw:ing-hl-HL-Brand:p:ing rate,22,3,840
app:product:apply:ing-hl-ms,20,8,36
ps:goo:gadw:ing-hl-Calc-Generic:p:mortgage calculator,19,5,2562
ps:goo:gadw:ing-hl-HL-Generic:e:home loan,15,3,174
edm:cem:ecgn:ing-hl-C000000932:A000166167:resources,15,2,239
app:product:apply:ing-hl-frl,14,4,15
ps:goo:gadw:ing-oe-BankAccount-Brand:e:ing bank,14,0,10502
ps:goo:gadw:ing-hl-Calc-Generic:p:home loan borrow,12,3,764


##############################################
# PID tracking (top 25) (last touch attribution)
# You can filter by;
"# "
# vis = visitor site
# cli = client site
# app = mobile app (UNICA banners)
"# "
# hph1 = homepage 1
##############################################
,HL app intro,HL app complete,Visits
Internal Banner Tracking,1882,342,146626
app:inbound:hlexborrow:winback,602,93,6257
vis:hph1:cathl:3kcashback,291,66,1282
cli:product:hml:bp,170,44,514
vis:tools:seg:refinance,159,29,2218
vis:mainbann:seg:refinance,82,9,524
vis:tools:seg:fhbc,47,13,268
app:inbound:hlexborrow:winbackcampaignpage,45,7,525
vis:hlpp:table:hleru,42,4,520
vis:mainbann:seg:fhbc,31,6,166
cli:offerdefault:hlexborrow:winback,28,8,56
app:inbound:hmpgmirror:unicaupgrade,27,4,5164
vis:artcl:seg:refinance,27,1,406
vis:spclt:seg:refinance,24,2,324
231f0.1793.366ba8cf.ffffffff9fb0e9df,18,5,40
vis:spclt:seg:direct,18,4,31
vis:tools:seg:invest,17,1,250
cli:log:hlexborrow:winback,16,6,169
vis:hph2:rdsgn2020:personalloan,15,1,394
vis:product:bnnr:hlthins,12,4,4015
3204c.2848.fffffffff1eea965.33c83915,12,4,3380
2316e.954.ffffffff88c94d7b.1a7c20bb,12,2,113
vis:spclt:seg:fhbc,12,2,50
231ef.1793.366ba8cf.ffffffff9fb0e9df,11,2,51
2315c.1b35.17e4f254.ffffffff8d1aa504,10,0,255
cli:inbound:hlexborrow:winback,9,3,155


#=================================================================
# App start rate from key visitor site pages
# Report suite: ING Direct Production Report Suite
"# Date: Nov 6, 2022 - Jan 30, 2023"
# This tracks the % of visits that arrive on a particular page and then hit the home loan app start form.
# This is a good metric to measure the effectiveness of a particular page in starting a home loan
#=================================================================


##############################################
# From home-loans
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/home-loans,79999,,1
HL app intro,3150,0.9606245078063476,0.03937549219365242


##############################################
# Segment page - refinance
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/refinance,6709,,1
HL app intro,524,0.9218959606498733,0.07810403935012669


##############################################
# From Orange Advantage
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/orange-advantage,20360,,1
HL app intro,649,0.968123772102161,0.0318762278978389


##############################################
# Segment page - First home buyers
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/first-home-buyers,1156,,1
HL app intro,106,0.9083044982698962,0.09169550173010381


##############################################
# From Mortgage Simplifier
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/mortgage-simplifier,17339,,1
HL app intro,571,0.9670684583886038,0.032931541611396276


##############################################
# segment page - Invest
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/invest,1934,,1
HL app intro,108,0.9441571871768356,0.055842812823164424


##############################################
# From Fixed rate loan
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/fixed-rate-loan,19445,,1
HL app intro,262,0.986526099254307,0.01347390074569298


#=================================================================
# Same-session conversion rates | Apply funnel (from app start to app complete)
# Report suite: ING Direct Production Report Suite
"# Date: Nov 6, 2022 - Jan 30, 2023"
#=================================================================


##############################################
# Same-session | Existing customer apply
##############################################
,,,
,Visitors,Fallout,Fall through
personal details,416,,1
single-joint,272,0.34615384615384615,0.6538461538461539
property,234,0.13970588235294112,0.5625
income (incl. primary or secondary),214,0.0854700854700855,0.5144230769230769
expense,202,0.05607476635514019,0.4855769230769231
loan-preference,197,0.024752475247524774,0.4735576923076923
review-submit,177,0.10152284263959388,0.4254807692307692
submitted,165,0.06779661016949157,0.39663461538461536


##############################################
# Same-session | NTB apply
##############################################
,,,
,Visitors,Fallout,Fall through
Personal details,1569,,1
Terms and conditions,699,0.5544933078393881,0.44550669216061184
CIF screen,512,0.2675250357653791,0.3263224984066284
single-joint,474,0.07421875,0.30210325047801145
property,444,0.06329113924050633,0.2829827915869981
income (primary or secondary),393,0.11486486486486491,0.25047801147227533
expense,370,0.058524173027989845,0.23581899298916506
loan-preference,356,0.037837837837837784,0.22689611217335884
review-submit,265,0.2556179775280899,0.16889738687061823
submitted,255,0.037735849056603765,0.16252390057361377


