#=================================================================
# High level stats
# Report suite: ING Direct Production Report Suite
"# Date: Jan 1, 2022 - Jan 31, 2023"
#=================================================================


##############################################
# Home loan app start rate
# The conversion rate of online home loan applications starts divided by the number of home loan product page views
##############################################
,home loan,HL app intro,HL app intro / Product views
,Product Views,HL app intro,HL app intro / Product views
Month,409743,70930,0.1731085094803328
2023-01-01,27621,5299,0.1918467832446327
2022-12-01,23458,4084,0.1740983886094296
2022-11-01,29195,5138,0.17598903921904435
2022-10-01,33857,5370,0.15860826416989102
2022-09-01,31060,5108,0.16445589182227946
2022-08-01,35742,6638,0.18571988137205528
2022-07-01,37803,6281,0.16615083458984736
2022-06-01,33972,4640,0.13658306840927822
2022-05-01,36233,4773,0.13173074269312504
2022-04-01,29263,4537,0.15504220346512662
2022-03-01,29768,6298,0.21156947057242675
2022-02-01,31051,5935,0.1911371614440759
2022-01-01,30720,6829,0.22229817708333333


##############################################
# Home loan app completes
# This shows the number of ONLINE mortgage applications.
# This number won't match up with the number of direct  channel applications as direct includes online and contact centre.
##############################################
,HL app complete
Month,15729
2023-01-01,1170
2022-12-01,932
2022-11-01,1098
2022-10-01,1203
2022-09-01,1153
2022-08-01,1452
2022-07-01,1162
2022-06-01,861
2022-05-01,1002
2022-04-01,983
2022-03-01,1416
2022-02-01,1497
2022-01-01,1800


#=================================================================
# Online channel traffic
# Report suite: ING Direct Production Report Suite
"# Date: Jan 1, 2022 - Jan 31, 2023"
"# To turn anything into a line chart to track progress, "
"# right click the number > ""visualise"" > line"
#=================================================================


##############################################
# Visitor site
##############################################
,Visits
Page,718160
ingdirect:home-loans,402101
ingdirect:home-loans:fixed-rate-home-loan,131594
ingdirect:home-loans:orange-advantage,98776
ingdirect:home-loans:mortgage-simplifier,85689


##############################################
# Segment pages
##############################################
,Visits
Page,52549
ingdirect:home-loans:refinance,26928
ingdirect:home-loans:invest,10131
ingdirect:home-loans:first-home-buyers,5951
ingdirect:home-loans:manage-my-loan,4199
ingdirect:home-loans:how-to-apply,2862
ingdirect:home-loans:next-home-loan,2478


##############################################
# Campaign pages
##############################################
,Visits
Page,139390
campaigns:ingdirect:home-loans,78168
campaigns:ingdirect:first-home-truths,28939
campaigns:ingdirect:refinance,15789
campaigns:ingdirect:home-loans:affiliate,6539
campaigns:ingdirect:home-equity,3098
campaigns:ingdirect:investor-home-loans,2776
campaigns:ingdirect:homeloans:review,1793
campaigns:ingdirect:home-loan-glossary,1191
campaigns:ingdirect:home-reno,625
campaigns:ingdirect:first-home-buyers,266
campaigns:ingdirect:first-home-truths:tools,206


##############################################
# Client site product pages
##############################################
,Visits
Page,31952
ingdirect:banking:products:home-loans:compare-home-loans,18696
ingdirect:banking:products:home-loans:mortgage-simplifier,4862
ingdirect:banking:products:home-loans:fixed-rate-home-loan,4251
ingdirect:banking:products:home-loans:orange-advantage,4143


##############################################
# Home Loan guides (top 10)
##############################################
,Visits
Page,42559
ingdirect:home-loans:tips-hints-guides:managing-my-loan,8849
ingdirect:home-loans:tips-hints-guides:offset-accounts-overview,6366
ingdirect:home-loans:tips-hints-guides:home-loan-pre-approval-benefits,4407
ingdirect:home-loans:tips-hints-guides:equity-home-loan,3602
ingdirect:home-loans:tips-hints-guides:deposit-and-upfront-costs,3274
ingdirect:home-loans:tips-hints-guides:how-much-will-it-cost-me-to-refinance,3036
ingdirect:help-and-support:tips-hints-guides:home-loans,2699
ingdirect:home-loans:tips-hints-guides:compare-mortgage-types,2548
