#=================================================================
# PP - channels
# Report suite: ING Direct Production Report Suite
"# Date: Nov 19, 2022 - Feb 16, 2023"
# Segments: Home Loans Product Pages (Web)
#=================================================================


##############################################
# Freeform table
##############################################
,Natural Search,Direct,Paid Search,Referring Domains,Affiliate
,Visits,Visits,Visits,Visits,Visits
Week,33173,20814,2092,832,184
2022-11-13,203,111,22,3,3
2022-11-20,2268,1495,151,56,32
2022-11-27,2138,1396,92,57,23
2022-12-04,3178,2026,273,67,42
2022-12-11,1957,1598,219,36,41
2022-12-18,1542,1269,221,37,24
2022-12-25,1218,823,196,42,19
2023-01-01,2399,1572,141,58,0
2023-01-08,3004,1705,92,70,0
2023-01-15,2909,1653,67,85,0
2023-01-22,2586,1463,52,78,0
2023-01-29,3275,1753,104,71,0
2023-02-05,4296,2489,233,119,0
2023-02-12,2201,1462,229,53,0


