#=================================================================
# PP - channels
# Report suite: ING Direct Production Report Suite
"# Date: Dec 10, 2022 - Feb 7, 2023"
# Segments: Home Loans Product Pages (Web)
#=================================================================


##############################################
# Freeform table
##############################################
,Natural Search,Direct,Paid Search,Referring Domains,Affiliate
,Visits,Visits,Visits,Visits,Visits
Week,20338,12650,1184,511,85
2022-12-04,205,123,26,2,1
2022-12-11,1957,1598,219,36,41
2022-12-18,1542,1269,221,37,24
2022-12-25,1218,823,196,42,19
2023-01-01,2399,1572,141,58,0
2023-01-08,3004,1705,92,70,0
2023-01-15,2909,1653,67,85,0
2023-01-22,2586,1463,52,78,0
2023-01-29,3275,1753,104,71,0
2023-02-05,1243,692,66,32,0


#=================================================================
# How much % of traffic is not PP?
# Report suite: ING Direct Production Report Suite
"# Date: Dec 10, 2022 - Feb 7, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,Product = HL,Home Loans Product Pages (Web)
,Visits,Visits
Week,46366,34734
2022-12-04,485,355
2022-12-11,4978,3845
2022-12-18,4050,3079
2022-12-25,3141,2288
2023-01-01,5533,4168
2023-01-08,6469,4862
2023-01-15,6394,4734
2023-01-22,5656,4175
2023-01-29,7021,5201
2023-02-05,2641,2028


#=================================================================
# Panel
# Report suite: ING Direct Production Report Suite
"# Date: Feb 1, 2023 - Feb 28, 2023"
# Segments: Product = HL
#=================================================================


##############################################
# Freeform table
##############################################
,Visits
Page,6696
ingdirect:home-loans:fixed-rate-home-loan,2069
ingdirect:home-loans:orange-advantage,2015
ingdirect:home-loans:mortgage-simplifier,1665
ingdirect:banking:apply:oa:visitor:intro,635
ingdirect:banking:apply:hl:client:intro,345
ingdirect:banking:apply:hl:client:submitted,210
ingdirect:home-loans:tips-hints-guides:managing-my-loan,186
ingdirect:home-loans:tips-hints-guides:offset-accounts-overview,150
ingdirect:banking:apply:oa:visitor:personal-details,141
ingdirect:home-loans:commercial-loan,137
ingdirect:home-loans:tips-hints-guides:home-loan-pre-approval-benefits,97
ingdirect:banking:products:home-loans:orange-advantage,95
ingdirect:banking:products:home-loans:mortgage-simplifier,88
ingdirect:banking:products:home-loans:fixed-rate-home-loan,74
ingdirect:home-loans:tips-hints-guides:how-much-will-it-cost-me-to-refinance,71
ingdirect:banking:apply:hl:visitor:submitted,64
ingdirect:home-loans:tips-hints-guides:first-home-buyers-faq,62
ingdirect:home-loans:tips-hints-guides:tips-for-mortgage-refinancing,59
ingdirect:banking:apply:frl:visitor:intro,56
ingdirect:home-loans:tips-hints-guides:compare-mortgage-types,53
ingdirect:home-loans:tips-hints-guides:deposit-and-upfront-costs,50
ingdirect:banking:apply:ms:visitor:intro,46
ingdirect:home-loans:tips-hints-guides:equity-home-loan,46
ingdirect:home-loans:tips-hints-guides:first-home-owners-grant,34
ingdirect:home-loans:tips-hints-guides:refinancing-home-loan-case-study,33
ingdirect:home-loans:tips-hints-guides:four-easy-steps-to-refinance,29
ingdirect:home-loans:tips-hints-guides:refinancing-what-to-consider,27
ingdirect:home-loans:tips-hints-guides:how-to-get-your-home-renovating-project-started,24
ingdirect:banking:apply:frl:visitor:personal-details,21
ingdirect:home-loans:tips-hints-guides:whats-the-right-home-loan-for-me,17
ingdirect:home-loans:tips-hints-guides:NSW-stamp-duty-changes,17
ingdirect:home-loans:tips-hints-guides:reasons-to-look-at-home-loan-refinancing,15
ingdirect:home-loans:tips-hints-guides:first-home-buyers-guide,14
ingdirect:home-loans:tips-hints-guides:key-facts-sheet,11
ingdirect:home-loans:tips-hints-guides:lender-mortgage-insurance-introduction,11
ingdirect:banking:apply:hl:visitor:intro,8
ingdirect:home-loans:tips-hints-guides:tips-for-buying-a-house-at-auction,7
ingdirect:home-loans:tips-hints-guides:buying-your-next-home,7
ingdirect:home-loans:tips-hints-guides:renovating-tips,6
ingdirect:banking:apply:ms:visitor:personal-details,6
ingdirect:home-loans:tips-hints-guides:finding-the-home-you-want,5
ingdirect:home-loans:tips-hints-guides:tips-for-investors,3
ingdirect:banking:apply:hl:client:single-joint,2
ingdirect:home-loans:tips-hints-guides:reasons-for-investing-in-property,2
ingdirect:home-loans:tips-hints-guides:four-easy-steps-to-invest,2
ingdirect:banking:dashboard,2
ingdirect:home-loans:tips-hints-guides:investors-faq,2
ingdirect:home-loans:tips-hints-guides:investment-case-study,2
ingdirect:home-loans:tips-hints-guides:nsw-stamp-duty-changes,1
ingdirect:home-loans:tips-hints-guides:first-home-buyers-case-study,1


