#=================================================================
# PP - channels
# Report suite: ING Direct Production Report Suite
"# Date: Nov 11, 2022 - Feb 8, 2023"
# Segments: Home Loans Product Pages (Web)
#=================================================================


##############################################
# Freeform table
##############################################
,Natural Search,Direct,Paid Search,Referring Domains,Affiliate
,Visits,Visits,Visits,Visits,Visits
Week,31585,19993,1890,793,193
2022-11-06,542,370,35,22,2
2022-11-13,2291,1655,154,63,10
2022-11-20,2268,1495,151,56,32
2022-11-27,2138,1396,92,57,23
2022-12-04,3178,2026,273,67,42
2022-12-11,1957,1598,219,36,41
2022-12-18,1542,1269,221,37,24
2022-12-25,1218,823,196,42,19
2023-01-01,2399,1572,141,58,0
2023-01-08,3004,1705,92,70,0
2023-01-15,2909,1653,67,85,0
2023-01-22,2586,1463,52,78,0
2023-01-29,3275,1753,104,71,0
2023-02-05,2278,1216,93,51,0


