#=================================================================
# PP - channels
# Report suite: ING Direct Production Report Suite
"# Date: Nov 11, 2022 - Feb 8, 2023"
# Segments: Home Loans Product Pages (Web)
#=================================================================


##############################################
# Freeform table
##############################################
,Natural Search,Direct,Paid Search,Referring Domains,Affiliate
,Visits,Visits,Visits,Visits,Visits
Week,31585,19993,1890,793,193
2022-11-06,542,370,35,22,2
2022-11-13,2291,1655,154,63,10
2022-11-20,2268,1495,151,56,32
2022-11-27,2138,1396,92,57,23
2022-12-04,3178,2026,273,67,42
2022-12-11,1957,1598,219,36,41
2022-12-18,1542,1269,221,37,24
2022-12-25,1218,823,196,42,19
2023-01-01,2399,1572,141,58,0
2023-01-08,3004,1705,92,70,0
2023-01-15,2909,1653,67,85,0
2023-01-22,2586,1463,52,78,0
2023-01-29,3275,1753,104,71,0
2023-02-05,2278,1216,93,51,0


#=================================================================
# How much % of traffic is not PP?
# Report suite: ING Direct Production Report Suite
"# Date: Dec 11, 2022 - Feb 8, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,Product = HL,Home Loans Product Pages (Web)
,Visits,Visits
Week,47831,35984
2022-12-11,4978,3845
2022-12-18,4050,3079
2022-12-25,3141,2288
2023-01-01,5533,4168
2023-01-08,6469,4862
2023-01-15,6394,4734
2023-01-22,5656,4175
2023-01-29,7021,5201
2023-02-05,4591,3633


#=================================================================
# Panel
# Report suite: ING Direct Production Report Suite
"# Date: Feb 1, 2023 - Feb 28, 2023"
# Segments: Product = HL
#=================================================================


##############################################
# Freeform table
##############################################
,Visits
Page,8646
ingdirect:home-loans:fixed-rate-home-loan,2882
ingdirect:home-loans:orange-advantage,2571
ingdirect:home-loans:mortgage-simplifier,2113
ingdirect:banking:apply:oa:visitor:intro,773
ingdirect:banking:apply:hl:client:intro,413
ingdirect:banking:apply:hl:client:submitted,249
ingdirect:home-loans:tips-hints-guides:managing-my-loan,232
ingdirect:banking:apply:oa:visitor:personal-details,175
ingdirect:home-loans:tips-hints-guides:offset-accounts-overview,174
ingdirect:home-loans:commercial-loan,160
ingdirect:banking:products:home-loans:orange-advantage,118
ingdirect:home-loans:tips-hints-guides:home-loan-pre-approval-benefits,113
ingdirect:banking:products:home-loans:mortgage-simplifier,112
ingdirect:banking:products:home-loans:fixed-rate-home-loan,93
ingdirect:home-loans:tips-hints-guides:how-much-will-it-cost-me-to-refinance,86
ingdirect:banking:apply:hl:visitor:submitted,82
ingdirect:home-loans:tips-hints-guides:first-home-buyers-faq,78
ingdirect:home-loans:tips-hints-guides:tips-for-mortgage-refinancing,74
ingdirect:banking:apply:frl:visitor:intro,71
ingdirect:home-loans:tips-hints-guides:deposit-and-upfront-costs,61
ingdirect:banking:apply:ms:visitor:intro,61
ingdirect:home-loans:tips-hints-guides:compare-mortgage-types,60
ingdirect:home-loans:tips-hints-guides:equity-home-loan,59
ingdirect:home-loans:tips-hints-guides:first-home-owners-grant,39
ingdirect:home-loans:tips-hints-guides:four-easy-steps-to-refinance,36
ingdirect:home-loans:tips-hints-guides:refinancing-home-loan-case-study,36
ingdirect:home-loans:tips-hints-guides:refinancing-what-to-consider,30
ingdirect:home-loans:tips-hints-guides:how-to-get-your-home-renovating-project-started,28
ingdirect:banking:apply:frl:visitor:personal-details,26
ingdirect:home-loans:tips-hints-guides:whats-the-right-home-loan-for-me,23
ingdirect:home-loans:tips-hints-guides:first-home-buyers-guide,21
ingdirect:home-loans:tips-hints-guides:NSW-stamp-duty-changes,21
ingdirect:home-loans:tips-hints-guides:reasons-to-look-at-home-loan-refinancing,18
ingdirect:home-loans:tips-hints-guides:key-facts-sheet,14
ingdirect:home-loans:tips-hints-guides:lender-mortgage-insurance-introduction,11
ingdirect:home-loans:tips-hints-guides:tips-for-buying-a-house-at-auction,10
ingdirect:banking:apply:hl:visitor:intro,10
ingdirect:home-loans:tips-hints-guides:finding-the-home-you-want,7
ingdirect:banking:apply:ms:visitor:personal-details,7
ingdirect:home-loans:tips-hints-guides:buying-your-next-home,7
ingdirect:home-loans:tips-hints-guides:renovating-tips,6
ingdirect:home-loans:tips-hints-guides:first-home-buyers-case-study,3
ingdirect:home-loans:tips-hints-guides:tips-for-investors,3
ingdirect:home-loans:tips-hints-guides:reasons-for-investing-in-property,3
ingdirect:home-loans:tips-hints-guides:four-easy-steps-to-invest,3
ingdirect:home-loans:tips-hints-guides:investors-faq,3
ingdirect:banking:apply:hl:client:single-joint,2
ingdirect:banking:dashboard,2
ingdirect:home-loans:tips-hints-guides:investment-case-study,2
ingdirect:home-loans:tips-hints-guides:nsw-stamp-duty-changes,1


