#=================================================================
# Sales by Device  - visitor
# Report suite: ING Direct Production Report Suite
"# Date: May 1, 2023 - May 31, 2023"
# Segments: Visitor Apps
#=================================================================


##############################################
# Visitor Apps
##############################################
,,app completed
Product,,20088
orange everyday,,11574
orange everyday,Mobile Device Type,11574
orange everyday,Mobile Phone,5771
orange everyday,Other,5681
orange everyday,Tablet,122
savings:saving maximiser,,7704
savings:saving maximiser,Mobile Device Type,7704
savings:saving maximiser,Other,4122
savings:saving maximiser,Mobile Phone,3497
savings:saving maximiser,Tablet,85
savings:term deposit,,312
savings:term deposit,Mobile Device Type,312
savings:term deposit,Other,238
savings:term deposit,Mobile Phone,71
savings:term deposit,Tablet,3
home loan,,307
home loan,Mobile Device Type,307
home loan,Other,191
home loan,Mobile Phone,114
home loan,Tablet,2
savings:saving accelerator,,87
savings:saving accelerator,Mobile Device Type,87
savings:saving accelerator,Other,55
savings:saving accelerator,Mobile Phone,32
superannuation,,72
superannuation,Mobile Device Type,72
superannuation,Other,48
superannuation,Mobile Phone,24
personal loan,,32
personal loan,Mobile Device Type,32
personal loan,Mobile Phone,17
personal loan,Other,15


#=================================================================
# Sales by Device - client
# Report suite: ING Direct Production Report Suite
"# Date: May 1, 2023 - May 31, 2023"
# Segments: Client Pages
#=================================================================


##############################################
# Freeform table
##############################################
,,app completed
Product,,17915
savings:saving maximiser,,7282
savings:saving maximiser,Mobile Device Type,7282
savings:saving maximiser,Other,4476
savings:saving maximiser,Mobile Phone,2742
savings:saving maximiser,Tablet,64
orange everyday,,4878
orange everyday,Mobile Device Type,4878
orange everyday,Other,2893
orange everyday,Mobile Phone,1938
orange everyday,Tablet,47
savings:term deposit,,1915
savings:term deposit,Mobile Device Type,1915
savings:term deposit,Other,1624
savings:term deposit,Mobile Phone,245
savings:term deposit,Tablet,46
savings:saving accelerator,,1872
savings:saving accelerator,Mobile Device Type,1872
savings:saving accelerator,Other,1044
savings:saving accelerator,Mobile Phone,806
savings:saving accelerator,Tablet,22
home loan,,1057
home loan,Mobile Device Type,1057
home loan,Other,648
home loan,Mobile Phone,398
home loan,Tablet,11
personal loan,,826
personal loan,Mobile Device Type,826
personal loan,Mobile Phone,529
personal loan,Other,293
personal loan,Tablet,4
superannuation,,85
superannuation,Mobile Device Type,85
superannuation,Other,63
superannuation,Mobile Phone,21
superannuation,Tablet,1


#=================================================================
# Insurance Sales
# Report suite: ING Direct Production Report Suite
"# Date: May 1, 2023 - May 31, 2023"
#=================================================================


##############################################
# Insurance sales
##############################################
,,Insurance policy completed
Product,,2655
insurance:car,,1732
insurance:car,Mobile Device Type,1732
insurance:car,Mobile Phone,896
insurance:car,Other,814
insurance:car,Tablet,22
insurance:home-and-contents,,738
insurance:home-and-contents,Mobile Device Type,738
insurance:home-and-contents,Other,451
insurance:home-and-contents,Mobile Phone,278
insurance:home-and-contents,Tablet,9
insurance:health,,114
insurance:health,Mobile Device Type,114
insurance:health,Mobile Phone,67
insurance:health,Other,46
insurance:health,Tablet,1
insurance:motorcycle,,45
insurance:motorcycle,Mobile Device Type,45
insurance:motorcycle,Other,31
insurance:motorcycle,Mobile Phone,14
insurance:pet,,26
insurance:pet,Mobile Device Type,26
insurance:pet,Other,14
insurance:pet,Mobile Phone,12


#=================================================================
# Insurance Average
# Report suite: ING Direct Production Report Suite
"# Date: May 1, 2023 - May 31, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,Insurance policy completed
Mobile Device Type,2655
Other,1356
Mobile Phone,1267
Tablet,32


#=================================================================
# Consumer lending sales
# Report suite: ING Direct Production Report Suite
"# Date: May 1, 2023 - May 31, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,,App Submitted
Product,,8904
credit card,,5939
credit card,Mobile Device Type,5939
credit card,Mobile Phone,3673
credit card,Other,2233
credit card,Tablet,32
credit card,Television,1
personal loan,,2965
personal loan,Mobile Device Type,2965
personal loan,Mobile Phone,1790
personal loan,Other,1161
personal loan,Tablet,14


##############################################
# Consumer lending average
##############################################
,Exclude sales channel = mobile app
,App Submitted
Mobile Device Type,5659
Other,3355
Mobile Phone,2266
Tablet,37
Television,1


#=================================================================
# Panel
# Report suite: ING Direct Production Report Suite
"# Date: Jan 1, 2022 - Mar 31, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,QPR Sales
Mobile Device Type,583087
Other,325228
Mobile Phone,251224
Tablet,6628
Media Player,4
Set-top Box,2
Television,1


#=================================================================
# Mobile app sales
# Report suite: Mobile: Native App
"# Date: May 1, 2023 - May 31, 2023"
#=================================================================


##############################################
# Freeform table
##############################################
,App completed
Product,15984
Savings Maximiser,11411
Orange Everyday,3781
Personal Term Deposit,743
superannuation,49


#=================================================================
# Panel (2)
# Report suite: Mobile: Native App
"# Date: Jan 1, 2022 - Dec 31, 2022"
#=================================================================


##############################################
# Freeform table
##############################################
,First Launches
Quarter,938933
2022-01-01,235251
2022-04-01,218256
2022-07-01,230486
2022-10-01,254940


