;May/22;Jun/22;Jul/22;Aug/22;Sep/22;Oct/22;Nov/22;Dec/22;Jan/23;Feb/23;Mar/23;Apr/23;
Page;46902;46836;53152;56268;53123;55116;49063;45260;54798;56282;62122;55636;
ingdirect:home-loans:calculators:repayments;18521;18457;19371;18186;17337;18233;16679;14538;18628;19718;19753;17426;
ingdirect:home-loans:calculators:borrowing-power;14403;16146;19604;22517;22517;23144;18897;19531;19019;21484;27882;24342;
ingdirect:home-loans:calculators:borrowing-power:loan-type;10832;11539;14052;16468;15895;16533;13426;13029;14408;14341;18287;16739;
ingdirect:home-loans:calculators:extra-loan-repayments;10462;9768;10615;9851;8612;8954;8146;7417;9848;9699;9955;9602;
ingdirect:home-loans:calculators:borrowing-power:expenses;9199;9585;11769;13881;13010;13558;11104;10102;12262;11709;14616;13688;
ingdirect:home-loans:calculators:borrowing-power:financial-commitments;8919;9284;11428;13476;12586;13143;10753;9769;11902;11345;14134;13301;
ingdirect:home-loans:calculators:borrowing-power:results;8908;9263;11391;13437;12547;13083;10716;9703;11882;11340;14216;13357;
ingdirect:home-loans:calculators:borrowing-power:dependants;8885;9230;11347;13407;12524;13052;10690;9685;11839;11270;14070;13219;
ingdirect:home-loans:calculators:borrowing-power:app1-income;5219;5463;6656;7789;7357;7904;6315;5670;7081;7007;8442;7913;
ingdirect:home-loans:calculators:offset;5203;4401;5413;5598;5236;5438;5377;4568;6109;6084;5773;4958;
ingdirect:home-loans:calculators:borrowing-power:my-income;4880;5132;6304;7412;7145;7265;5999;5720;6351;6176;8099;7454;
ingdirect:home-loans:calculators:borrowing-power:app2-income;4875;5065;6180;7286;6751;7244;5850;5162;6645;6338;7552;7185;
ingdirect:home-loans:calculators:stamp-duty;1520;1397;1321;1394;1198;1287;1242;1029;1185;1350;1627;1389;
ingdirect:home-loans:calculators:equity-calculator;858;921;965;1062;897;985;879;961;1758;1337;1441;1401;
ingdirect:home-loans:calculators:lump-sum;643;541;643;617;639;659;673;583;655;723;713;653;
ingdirect:home-loans:calculators:refinance;553;615;684;766;659;754;675;595;903;1043;919;982;
ingdirect:home-loans:calculators:buying-cost;424;387;350;373;359;376;334;296;553;443;457;443;
ingdirect:home-loans:calculators:rental-yield-calculator;399;936;1919;3390;3199;3062;2668;2112;3456;3398;4110;4170;
ingdirect:home-loans:calculators:split-loan;363;287;278;215;194;196;170;125;129;172;165;127;
ingdirect:home-loans:orange-advantage:tools and calculators;342;307;300;359;299;384;286;267;417;379;494;408;
